ID,Name,Glottocode,Lexifier,lexifier_group,Region
1,Early Sranan,sran1240,English,european,Caribbean
10,San Andres Creole English,sana1297,English,european,Caribbean
1021,Sranan (Dutch-influenced),,English,european,
1071,Vincentian Creole (Mesolectal variety),,English,european,
1081,Jamaican (Jamaican Mesolect),,English,european,
11,Nicaraguan Creole English,nica1251,English,european,Caribbean
1161,Ghanaian Pidgin English (Student Pidgin),,English,european,
1162,Ghanaian Pidgin English (Acrolectal Ghanaian Pidgin English),,English,european,
12,Bahamian Creole,baha1260,English,european,North America
1201,Chinese Pidgin English (European),,English,european,
1251,Kriol (Roper River Lect),,English,european,
13,Gullah,gull1241,English,european,North America
1301,Cape Verdean Creole of Santiago (acrolect (close to Portuguese)),,Portuguese,european,
1331,Guinea-Bissau Kriyol (older generation),,Portuguese,european,
1332,Guinea-Bissau Kriyol (acrolect),,Portuguese,european,
1333,Guinea-Bissau Kriyol (basilect),,Portuguese,european,
1371,Principense (younger generation),,Portuguese,european,
1391,Diu Indo-Portuguese (older lect),,Portuguese,european,
14,African American English,afri1269,English,european,North America
1431,Batavia Creole (Tugu),,Portuguese,european,
15,Krio,krio1253,English,european,West Africa
1501,Guadeloupean Creole (older generation),,French,european,
1521,Guyanais (costal),,French,european,
1531,Louisiana Creole (old texts),,French,european,
1532,Louisiana Creole (geographical (Pointe Coupee)),,French,european,
1551,Mauritian Creole (Bhojpuri-influenced Mauritian Creole),,French,european,
1561,Seychelles Creole (older generation),,French,european,
1562,Seychelles Creole (French-influenced),,French,european,
1563,Seychelles Creole (written),,French,european,
1591,Sango (written),,Other,non-european,
16,Ghanaian Pidgin English,ghan1244,English,european,West Africa
1641,Juba Arabic (Arabic interference),,Arabic,non-european,
1642,Juba Arabic (basilectal),,Arabic,non-european,
1651,Chinese Pidgin Russian (depidginized),,Other,european,
17,Nigerian Pidgin,nige1257,English,european,West Africa
1731,Media Lengua (Imbabura Media Lengua (data Gómez Rendón)),,Spanish,european,
1741,Chinuk Wawa (Grand Ronde CW),,Other,non-european,
18,Cameroon Pidgin English,came1254,English,european,West Africa
19,Pichi,fern1234,English,european,West Africa
2,Sranan,sran1240,English,european,Caribbean
20,Chinese Pidgin English,chin1253,English,european,East Asia
21,Singlish,sing1262,English,european,Southeast Asia
22,Tok Pisin,tokp1240,English,european,Pacific
23,Bislama,bisl1239,English,european,Pacific
24,Norf'k,norf1243,English,european,Pacific
25,Kriol,krio1252,English,european,Australia
26,Hawai‘i Creole,hawa1247,English,european,Pacific
27,Negerhollands,nege1244,Dutch,european,Caribbean
28,Berbice Dutch,berb1259,Dutch,european,Caribbean
29,Afrikaans,afri1274,Dutch,european,Southern Africa
3,Saramaccan,sara1340,English,european,Caribbean
30,Cape Verdean Creole of Santiago,kabu1256,Portuguese,european,West Africa
31,Cape Verdean Creole of Brava,kabu1256,Portuguese,european,West Africa
32,Cape Verdean Creole of São Vicente,kabu1256,Portuguese,european,West Africa
33,Guinea-Bissau Kriyol,uppe1455,Portuguese,european,West Africa
34,Casamancese Creole,uppe1455,Portuguese,european,West Africa
35,Santome,saot1239,Portuguese,european,West Africa
