contrast,pct_l1_both,pct_total_both,pct_langs_both,pct_l1_one,pct_langs_one,note,merger_langs
m / n,0.9895,0.9937,0.9389,0.0095,0.0381,control: should be ~universal,2.0
e / i vs a,0.9846,0.987,0.9747,0.0154,0.0239,sanity control,1.0
2-way coronal stops (t tʰ d dʱ),0.9649,0.9745,0.6311,0.0258,0.3114,"fortis/lenis wide contrast, strict level",
2-way velar stops (k kʰ ɡ ɡʱ),0.9513,0.9257,0.6132,0.0474,0.3509,"fortis/lenis wide contrast, strict level",
2-way labial stops (p pʰ b bʱ),0.9346,0.9193,0.6031,0.0635,0.3578,"fortis/lenis wide contrast, strict level",
R-cls / L-cls,0.8463,0.8876,0.6527,0.1426,0.2871,widest liquid classes,45.0
O-cls / a,0.8311,0.8218,0.8089,0.1599,0.1874,wide mid-back vs low,12.0
r / l,0.8194,0.8399,0.6399,0.1696,0.2954,the classic; r is already tap+trill+approximant+retroflex,45.0
E-cls / a,0.8179,0.8136,0.836,0.1775,0.1621,wide mid-front vs low,11.0
i / E-cls,0.8169,0.8123,0.8236,0.1821,0.169,wide mid-front vs high,16.0
u / O-cls,0.8025,0.8009,0.7639,0.1919,0.2177,wide mid-back vs high,29.0
f / p,0.7716,0.814,0.3923,0.2193,0.5531,matters where f is missing,20.0
t / d,0.751,0.7983,0.5953,0.2396,0.3477,"voiced-series cost, coronal",58.0
k / ɡ,0.737,0.747,0.5609,0.2617,0.4038,"voiced-series cost, velar",77.0
i / e,0.7298,0.7475,0.7446,0.2657,0.2389,5- vs 3-vowel systems,19.0
p / b,0.7273,0.7461,0.5668,0.2709,0.3946,"voiced-series cost, labial",81.0
u / o,0.7019,0.6034,0.6991,0.2681,0.2761,5- vs 3-vowel systems,30.0
s / SH-cls,0.6187,0.7396,0.3574,0.3706,0.4162,s vs any hushing sibilant,82.0
s / ʃ,0.5864,0.7186,0.3206,0.4029,0.4446,ʃ is s's top allophone,79.0
n / ŋ,0.5792,0.6478,0.6325,0.419,0.3303,ŋ is n's top allophone,95.0
w / b,0.5165,0.6079,0.5347,0.4721,0.4203,,2.0
s / z,0.4917,0.6256,0.3229,0.4931,0.4171,,30.0
a / ə,0.4788,0.5832,0.2366,0.5167,0.757,,45.0
ʃ / tʃ,0.4364,0.5523,0.2595,0.2793,0.254,,7.0
e / ɛ,0.4066,0.5251,0.3068,0.4177,0.5374,should NOT be contrasted by us (wide e),126.0
o / ɔ,0.3655,0.3557,0.3055,0.4676,0.5099,should NOT be contrasted by us (wide o),102.0
f / v,0.343,0.4347,0.2503,0.4543,0.2145,,16.0
v / b,0.3117,0.4113,0.2407,0.48,0.4244,"Spanish, Japanese adaptations",6.0
j / dʒ,0.3058,0.4469,0.2586,0.6047,0.6752,Spanish y/j territory,7.0
tʃ / dʒ,0.285,0.3991,0.2471,0.3097,0.2095,voicing in affricates,21.0
i / ɪ,0.2662,0.382,0.1332,0.7328,0.8571,English-style lax vowel,143.0
w / v,0.262,0.368,0.2242,0.5701,0.6895,"hard for Hindi, German, ...",24.0
u / ʊ,0.2619,0.3793,0.1203,0.7123,0.83,,87.0
u / y,0.2543,0.2457,0.0556,0.7104,0.8778,front rounded - expected floor,13.0
ts / tʃ,0.2107,0.1765,0.1543,0.4887,0.378,,46.0
s / θ,0.1652,0.2882,0.028,0.8228,0.7175,expected near-floor,3.0
h / x,0.1091,0.1449,0.107,0.7241,0.5379,wide-H members - should NOT be contrasted by us,41.0
