model,contrast,a,b,pct_l1_both,merger,cost_default,cost_learned
FeatureWeightCosts,m / n,m,n,0.9895,2.0,1.125,2.025256524708267
FeatureWeightCosts,r / l,r,l,0.8194,45.0,1.25,1.0356094898106996
FeatureWeightCosts,f / p,f,p,0.7716,20.0,1.25,1.0014920589803413
FeatureWeightCosts,t / d,t,d,0.751,58.0,0.25,0.881717141094283
FeatureWeightCosts,k / ɡ,k,ɡ,0.737,77.0,0.25,0.881717141094283
FeatureWeightCosts,i / e,i,e,0.7298,19.0,0.5,0.23266893556485185
FeatureWeightCosts,p / b,p,b,0.7273,81.0,0.25,0.881717141094283
FeatureWeightCosts,u / o,u,o,0.7019,30.0,1.0,1.8453599184281138
FeatureWeightCosts,s / ʃ,s,ʃ,0.5864,79.0,0.75,0.4307913163758229
FeatureWeightCosts,n / ŋ,n,ŋ,0.5792,95.0,2.125,1.853966134828481
FeatureWeightCosts,w / b,w,b,0.5165,2.0,7.0,6.122956483681871
FeatureWeightCosts,s / z,s,z,0.4917,30.0,0.25,0.881717141094283
FeatureWeightCosts,a / ə,a,ə,0.4788,45.0,0.75,1.0049639757728723
FeatureWeightCosts,e / ɛ,e,ɛ,0.4066,126.0,0.25,0.11024587481562682
FeatureWeightCosts,o / ɔ,o,ɔ,0.3655,102.0,0.25,0.11024587481562682
FeatureWeightCosts,f / v,f,v,0.343,16.0,0.25,0.881717141094283
FeatureWeightCosts,v / b,v,b,0.3117,6.0,1.25,1.0014920589803413
FeatureWeightCosts,i / ɪ,i,ɪ,0.2662,143.0,0.25,0.11024587481562682
FeatureWeightCosts,w / v,w,v,0.262,24.0,6.25,5.478286367326987
FeatureWeightCosts,u / ʊ,u,ʊ,0.2619,87.0,0.75,1.7229368576788886
FeatureWeightCosts,u / y,u,y,0.2543,13.0,0.5,0.9651015050872462
FeatureWeightCosts,s / θ,s,θ,0.1652,3.0,0.5,0.3655721353571735
FeatureWeightCosts,h / x,h,x,0.1091,41.0,2.5,1.9863447029735193
ContextEpenthesisCosts,m / n,m,n,0.9895,2.0,1.125,2.0183594555873507
ContextEpenthesisCosts,r / l,r,l,0.8194,45.0,1.25,1.0603945348318295
ContextEpenthesisCosts,f / p,f,p,0.7716,20.0,1.25,1.0073208608902922
ContextEpenthesisCosts,t / d,t,d,0.751,58.0,0.25,0.8690863012964162
ContextEpenthesisCosts,k / ɡ,k,ɡ,0.737,77.0,0.25,0.8690863012964162
ContextEpenthesisCosts,i / e,i,e,0.7298,19.0,0.5,0.2283791481084362
ContextEpenthesisCosts,p / b,p,b,0.7273,81.0,0.25,0.8690863012964162
ContextEpenthesisCosts,u / o,u,o,0.7019,30.0,1.0,1.8276984843203903
ContextEpenthesisCosts,s / ʃ,s,ʃ,0.5864,79.0,0.75,0.41323003497719
ContextEpenthesisCosts,n / ŋ,n,ŋ,0.5792,95.0,2.125,1.863542743343885
ContextEpenthesisCosts,w / b,w,b,0.5165,2.0,7.0,6.127268133547265
ContextEpenthesisCosts,s / z,s,z,0.4917,30.0,0.25,0.8690863012964162
ContextEpenthesisCosts,a / ə,a,ə,0.4788,45.0,0.75,1.0127852568738138
ContextEpenthesisCosts,e / ɛ,e,ɛ,0.4066,126.0,0.25,0.1074179091790004
ContextEpenthesisCosts,o / ɔ,o,ɔ,0.3655,102.0,0.25,0.1074179091790004
ContextEpenthesisCosts,f / v,f,v,0.343,16.0,0.25,0.8690863012964162
ContextEpenthesisCosts,v / b,v,b,0.3117,6.0,1.25,1.0073208608902922
ContextEpenthesisCosts,i / ɪ,i,ɪ,0.2662,143.0,0.25,0.1074179091790004
ContextEpenthesisCosts,w / v,w,v,0.262,24.0,6.25,5.4692656756579545
ContextEpenthesisCosts,u / ʊ,u,ʊ,0.2619,87.0,0.75,1.7067372453909544
ContextEpenthesisCosts,u / y,u,y,0.2543,13.0,0.5,0.982536269981875
ContextEpenthesisCosts,s / θ,s,θ,0.1652,3.0,0.5,0.3543020305995036
ContextEpenthesisCosts,h / x,h,x,0.1091,41.0,2.5,1.9805027095499999
