model,held_out_recipient,n_pairs,auc_default,auc_learned,train_loss_start,train_loss_end,w_syl,w_son,w_cons,w_cont,w_delrel,w_lat,w_nas,w_strid,w_voi,w_sg,w_cg,w_ant,w_cor,w_distr,w_lab,w_hi,w_lo,w_back,w_round,w_velaric,w_tense,w_long,w_del_C,w_del_V,w_ins_C,w_ins_V,w_ins_V_cluster,w_ins_V_edge,w_ins_V_other
FeatureWeightCosts,Manange,105,0.8532879818594105,0.9256235827664399,0.21522468748571696,0.09444594908996753,0.8495298750149023,0.8785608117990183,0.8123719676875004,0.4011631971068846,0.10538147418054343,0.1778053114289164,0.6074077383902301,0.0856762055957365,0.45789177555688815,0.06894520183041832,0.07408471133402149,0.12996326550893442,0.15255769989114146,0.09438391214074475,0.7898348977739983,0.11924984416385144,0.4663166329512145,0.4782018456158164,0.22936184858569256,0.10765874855115705,0.05575971836115085,0.10789331653123745,3.339377761656487,2.222625555087464,3.9570381539790964,2.462397298016484,,,
FeatureWeightCosts,SeliceRomani,914,0.9211463784839765,0.9836400940392341,0.21858947506325102,0.09743895957959582,0.8446874165460722,0.8773812127716193,0.8092602278578633,0.40455524849399177,0.106425139011072,0.1848310300974778,0.603203514110992,0.08884298762048463,0.437219873165791,0.06887179414718418,0.0733473142654225,0.1242123158585813,0.16335205495668173,0.09493731284286268,0.8007517648459235,0.11470960060459359,0.4489818952446585,0.48716966717341514,0.24797674607118822,0.10679634711609017,0.054871975517550554,0.10761456168048313,3.359802277969103,2.2047609259287295,3.9075849100208893,2.565980067139244,,,
FeatureWeightCosts,Takia,307,0.9792782947299176,0.9948540568069688,0.22160548561638574,0.09808379083068286,0.8424670578388213,0.8748165276471349,0.8075363481183953,0.40869671341115255,0.10529765328453387,0.18168370355282634,0.6167658057239527,0.08903071573774822,0.4415631459268531,0.06852306214136705,0.07300222726571808,0.121847520901181,0.160797650997509,0.09373214309453844,0.8074386590703374,0.1162790972032416,0.4501269596163614,0.4833658148286717,0.2397471916620992,0.10606547141685337,0.05460769839304129,0.1066088321676638,3.3733318742147977,2.1849135023228965,3.9007822526725837,2.511268539677238,,,
FeatureWeightCosts,Iraqw,163,0.9593887613384019,0.9939779442207084,0.2207358090814316,0.09796706510727198,0.8434730702445175,0.8748624938211246,0.8083719735617677,0.40565625883483325,0.10567012584295307,0.18724038016086458,0.6103036638154089,0.08755128769265427,0.4459858693978584,0.06862977508609969,0.07316258547122534,0.12136343390496826,0.16232048011161915,0.09391648194825623,0.7999377424586627,0.11815033969483706,0.4479998683767904,0.4847716228228193,0.24205808166984846,0.10629925197215374,0.0547963098152774,0.10747890329546128,3.3804010537726743,2.1867727756579307,3.911545535186184,2.5081789318219214,,,
FeatureWeightCosts,Japanese,671,0.8045046985947526,0.8641016699945141,0.21341877362554335,0.09046315383316202,0.8508279159469807,0.8842373680705906,0.8180187434907064,0.46518135439743885,0.10801806871843123,0.18555246133337272,0.5744776081250527,0.0867367245314615,0.4351986541318442,0.07034230465629573,0.07480955084359561,0.12644358434459643,0.13923469175328357,0.0930841722841884,0.811991877879836,0.11198360877893873,0.4393363138829904,0.4678404610807002,0.23210902386018298,0.10884671978521157,0.05619276475873024,0.10953602734557263,3.2651868228506076,2.145754352293403,3.9571859245743175,2.4005780286093468,,,
FeatureWeightCosts,Hup,54,0.9142661179698217,0.9574759945130316,0.21827009851948662,0.09554809512717687,0.8511966052463703,0.8762414422884045,0.8104235992045228,0.42312060313358224,0.10380932804487121,0.2132992562146838,0.5512270328895166,0.09125205728157135,0.4580043059746447,0.06927545519386148,0.0740083245590192,0.12329213541173326,0.16127739249122644,0.09475059570439574,0.804419863374648,0.11823259018439686,0.4066914183961892,0.4684380765326766,0.27869198338847534,0.10757649401846467,0.056027856310273565,0.10874358415647152,3.3708306483452137,2.1697683208685024,3.912929829479346,2.4331427329658712,,,
FeatureWeightCosts,Kalina,200,0.9493125,0.987925,0.2197614529107465,0.09780772174326272,0.8439403043108856,0.8749230430989524,0.8082791568395908,0.40795679753714015,0.10553038676261611,0.1858167703013421,0.6008205604272585,0.08802170331095328,0.44512950154912323,0.06865138684893311,0.07305414996216457,0.12154663438227944,0.1601692672079942,0.09346571120807694,0.8055427166303385,0.11717145875104212,0.45081220258634597,0.48826637898621433,0.2426594718659826,0.10634078558963149,0.05482368391877198,0.10707792792436138,3.365028442883056,2.2180223941540436,3.8907987400558692,2.535724150627508,,,
FeatureWeightCosts,Malagasy,271,0.8250159992374831,0.9223866777413161,0.21414126230875458,0.09427703044017685,0.8521268304443904,0.8841238380344747,0.8173848067849674,0.4299171631738805,0.10654822132256175,0.1804725412055391,0.5675447904940111,0.09173188896592617,0.4262776146898866,0.07068309422071285,0.07490816671714388,0.12807641428227273,0.15779637669973773,0.09576284533163533,0.8209945292899722,0.130172249792357,0.4204558647518838,0.482389845161738,0.2365896017645982,0.10924739761596623,0.056322546327399345,0.11047337292894507,3.3857125514371993,2.1963180601368744,3.9444637403314116,2.565677935219455,,,
FeatureWeightCosts,Mapudungun,333,0.9310211112012914,0.9662906149392636,0.21926734436541473,0.09629849072116861,0.8444657593438823,0.8784686705575511,0.8107665140546829,0.41821590283215293,0.10765319725436125,0.18791033008050695,0.5973470204240902,0.08895272713229684,0.46383517881390607,0.06897454666797326,0.07358209628979229,0.12236681012327283,0.15731625100618762,0.09303674599372491,0.7963682610461331,0.12049243980270793,0.4371187753705229,0.478492739170084,0.2342446263795388,0.1070072899690789,0.05488676550497149,0.1084973521825802,3.386654869044184,2.163510335952969,3.9386609924009437,2.4740656769272116,,,
FeatureWeightCosts,Qeqchi,229,0.9254495528308003,0.9779752483743636,0.22013378215011725,0.09746390986138398,0.8453656264521988,0.8777884796227791,0.8103403562087758,0.41394853767639095,0.10561708881859706,0.19291600478433588,0.5798280960768522,0.08989100642209313,0.45488254924819305,0.06972610734105118,0.073713908324067,0.12170315465890419,0.1597691117085,0.09309867184010885,0.8076473379003012,0.11888140207877579,0.44613881813526535,0.48661569255505194,0.23116091995158464,0.10701200331009257,0.05520046160658002,0.10875466527950174,3.3849011117628818,2.1777163402158095,3.9630136456611345,2.4743101558149228,,,
