guardrail,detail,value,passed,model
1 learned >= default under identical recipient-grouped CV,"held-out AUC mean 0.9569 (sd 0.0391, min 0.8023) vs default 0.8961 (sd 0.0618, min 0.7200); learned wins on 41/41 recipients; paired delta +0.0607 +- 0.0325",0.060715096403129575,True,FeatureWeightCosts
2 /da/ sanity gradient ta > dha > ga > fa > ma > ia,learned ta=0.841 ða=0.818 ɡa=0.666 fa=0.295 ma=0.100 ia=0.000 | default ta=0.983 ða=0.914 ɡa=0.853 fa=0.819 ma=0.750 ia=0.414,-0.3705548972258754,True,FeatureWeightCosts
3 /v/ projected onto a Japanese-like inventory -> /b/ not /z/,"learned top-3 [('b', 1.001), ('p', 1.883), ('z', 2.025)] | default top-3 [('z', 1.125), ('b', 1.25), ('s', 1.375)] (inventory n=20)",1.0014920589803413,True,FeatureWeightCosts
4 sutoraiku vs strike (target 0.62 -> 0.9s),default 0.617 -> learned 0.577,0.5766594709632403,False,FeatureWeightCosts
5 contrast-study cross-check (non-loanword anchor),"n=23 single-segment contrasts. rho(cost, pct_l1_both): default -0.020 (p=0.93) -> learned +0.059 (p=0.79); want positive and significant. rho(cost, merger_langs): default -0.407 -> learned -0.407 (want negative and lower)",0.058663822260224346,False,FeatureWeightCosts
1 learned >= default under identical recipient-grouped CV,"held-out AUC mean 0.9567 (sd 0.0387, min 0.8019) vs default 0.8961 (sd 0.0618, min 0.7200); learned wins on 41/41 recipients; paired delta +0.0606 +- 0.0331",0.06058267908044059,True,ContextEpenthesisCosts
2 /da/ sanity gradient ta > dha > ga > fa > ma > ia,learned ta=0.845 ða=0.820 ɡa=0.668 fa=0.306 ma=0.106 ia=0.000 | default ta=0.983 ða=0.914 ɡa=0.853 fa=0.819 ma=0.750 ia=0.414,-0.3619662512342766,True,ContextEpenthesisCosts
3 /v/ projected onto a Japanese-like inventory -> /b/ not /z/,"learned top-3 [('b', 1.007), ('p', 1.876), ('z', 2.018)] | default top-3 [('z', 1.125), ('b', 1.25), ('s', 1.375)] (inventory n=20)",1.0073208608902922,True,ContextEpenthesisCosts
4 sutoraiku vs strike (target 0.62 -> 0.9s),default 0.617 -> learned 0.568,0.5679973826646902,False,ContextEpenthesisCosts
5 contrast-study cross-check (non-loanword anchor),"n=23 single-segment contrasts. rho(cost, pct_l1_both): default -0.020 (p=0.93) -> learned +0.059 (p=0.79); want positive and significant. rho(cost, merger_langs): default -0.407 -> learned -0.407 (want negative and lower)",0.058663822260224346,False,ContextEpenthesisCosts
