part,database,entity,agreement,by_L1,glottocode,family,group,macroarea,l1,n_shared
calibration,grambank,INTERLANG,0.6929,0.7177,,,,,,
calibration,grambank,all-zero (a language with none of these features),0.6653,0.6433,,,,,,
calibration,grambank,"all-mode (the majority value of every feature, by LANGUAGE)",0.7424,0.7187,,,,,,
calibration,grambank,all-mode by L1 (the population-OPTIMAL fixed vector = ceiling),0.7019,0.761,,,,,,
calibration,grambank,random real language pair (n=35067),0.6574,,,,,,,
language,grambank,Abadi,0.7043,,abad1241,Austronesian,Austronesian,Papunesia,4300.0,115.0
language,grambank,Mungbam,0.6977,,abar1238,Atlantic-Congo,Atlantic-Congo,Africa,0.0,172.0
language,grambank,Abau,0.6548,,abau1245,Sepik,Sepik,Papunesia,7270.0,84.0
language,grambank,Abé,0.8175,,abee1242,Atlantic-Congo,Atlantic-Congo,Africa,0.0,137.0
language,grambank,Abenlen Ayta,0.6705,,aben1249,Austronesian,Austronesian,Papunesia,3000.0,88.0
language,grambank,Abipon,0.5935,,abip1241,Guaicuruan,Guaicuruan,South America,0.0,123.0
language,grambank,Abkhaz,0.6111,,abkh1244,Abkhaz-Adyge,Abkhaz-Adyge,Eurasia,190110.0,180.0
language,grambank,Abu' Arapesh,0.7222,,abua1245,Nuclear Torricelli,Nuclear Torricelli,Papunesia,2560.0,162.0
language,grambank,Abui,0.6875,,abui1241,Timor-Alor-Pantar,Timor-Alor-Pantar,Papunesia,0.0,96.0
language,grambank,Abun,0.7914,,abun1252,,(isolate),Papunesia,3000.0,187.0
language,grambank,Longchuan Achang,0.8207,,acha1249,Sino-Tibetan,Sino-Tibetan,Eurasia,0.0,184.0
language,grambank,Achagua,0.6387,,acha1250,Arawakan,Arawakan,South America,514.0,119.0
language,grambank,Acheron,0.6752,,ache1245,Narrow Talodi,Narrow Talodi,Africa,0.0,117.0
language,grambank,Aché,0.6234,,ache1246,Tupian,Tupian,South America,0.0,77.0
language,grambank,Achi,0.6943,,achi1256,Mayan,Mayan,North America,0.0,157.0
language,grambank,Acehnese,0.7989,,achi1257,Austronesian,Austronesian,Papunesia,3500032.0,184.0
language,grambank,Achumawi,0.6214,,achu1247,Palaihnihan,Palaihnihan,North America,0.0,103.0
language,grambank,Achuar-Shiwiar,0.6743,,achu1248,Chicham,Chicham,South America,0.0,175.0
language,grambank,Acoli,0.7018,,acol1236,Nilotic,Nilotic,Africa,1200000.0,171.0
language,grambank,Adang,0.6893,,adan1251,Timor-Alor-Pantar,Timor-Alor-Pantar,Papunesia,3000.0,177.0
language,grambank,Adnyamathanha,0.7177,,adny1235,Pama-Nyungan,Pama-Nyungan,Australia,0.0,124.0
language,grambank,Adonara,0.8165,,adon1237,Austronesian,Austronesian,Papunesia,98000.0,158.0
language,grambank,Adzera,0.7697,,adze1240,Austronesian,Austronesian,Papunesia,30000.0,152.0
language,grambank,Aekyom,0.661,,aeky1238,Kamula-Elevala,Kamula-Elevala,Papunesia,0.0,118.0
language,grambank,Afade,0.6557,,afad1236,Afro-Asiatic,Afro-Asiatic,Africa,0.0,61.0
language,grambank,Afar,0.663,,afar1241,Afro-Asiatic,Afro-Asiatic,Africa,1600000.0,181.0
language,grambank,Aghem,0.7399,,aghe1239,Atlantic-Congo,Atlantic-Congo,Africa,0.0,173.0
language,grambank,Aghu Tharnggalu,0.7101,,aghu1254,Pama-Nyungan,Pama-Nyungan,Australia,0.0,69.0
language,grambank,Aghu,0.6707,,aghu1255,Nuclear Trans New Guinea,Nuclear Trans New Guinea,Papunesia,3000.0,167.0
language,grambank,Aghwan,0.6475,,aghw1237,Nakh-Daghestanian,Nakh-Daghestanian,Eurasia,0.0,139.0
language,grambank,Agob-Ende-Kawam,0.5968,,agob1244,Pahoturi,Pahoturi,Papunesia,0.0,186.0
language,grambank,Aguaruna,0.6402,,agua1253,Chicham,Chicham,South America,56584.0,164.0
language,grambank,Agusan Manobo,0.703,,agus1235,Austronesian,Austronesian,Papunesia,0.0,101.0
language,grambank,Agutaynen,0.7059,,agut1237,Austronesian,Austronesian,Papunesia,0.0,153.0
language,grambank,Thavung,0.875,,aheu1239,Austroasiatic,Austroasiatic,Eurasia,0.0,184.0
language,grambank,Ahin-Kayapa Kalanguya,0.5859,,ahin1234,Austronesian,Austronesian,Papunesia,0.0,99.0
language,grambank,Ahom,0.8538,,ahom1240,Tai-Kadai,Tai-Kadai,Eurasia,0.0,171.0
language,grambank,Aikanã,0.6404,,aika1237,,(isolate),South America,200.0,89.0
language,grambank,Aimele,0.6235,,aime1238,Bosavi,Bosavi,Papunesia,0.0,170.0
language,grambank,Hokkaido Ainu,0.6369,,ainu1240,Ainu,Ainu,Eurasia,10.0,168.0
language,grambank,Aiton,0.8163,,aito1238,Tai-Kadai,Tai-Kadai,Eurasia,0.0,98.0
language,grambank,Aja (Benin),0.8061,,ajab1235,Atlantic-Congo,Atlantic-Congo,Africa,1133000.0,165.0
language,grambank,Aja (South Sudan),0.752,,ajas1235,Kresh-Aja,Kresh-Aja,Africa,0.0,125.0
language,grambank,Ajië,0.7676,,ajie1238,Austronesian,Austronesian,Papunesia,5400.0,142.0
language,grambank,Ajyíninka Apurucayali,0.6269,,ajyi1238,Arawakan,Arawakan,South America,4000.0,67.0
language,grambank,Akabea,0.6739,,akab1249,Great Andamanese,Great Andamanese,Eurasia,0.0,184.0
language,grambank,Akajeru,0.6632,,akaj1239,Great Andamanese,Great Andamanese,Eurasia,0.0,95.0
language,grambank,Akei,0.7881,,akei1237,Austronesian,Austronesian,Papunesia,0.0,118.0
language,grambank,Akha,0.7778,,akha1245,Sino-Tibetan,Sino-Tibetan,Eurasia,600000.0,153.0
language,grambank,Akkadian,0.6188,,akka1240,Afro-Asiatic,Afro-Asiatic,Eurasia,0.0,160.0
language,grambank,Akoose,0.6893,,akoo1248,Atlantic-Congo,Atlantic-Congo,Africa,0.0,177.0
language,grambank,Akuntsu,0.7365,,akun1241,Tupian,Tupian,South America,0.0,167.0
language,grambank,Alabama,0.6235,,alab1237,Muskogean,Muskogean,North America,100.0,170.0
language,grambank,Alaba-K'abeena,0.6486,,alab1254,Afro-Asiatic,Afro-Asiatic,Africa,287000.0,185.0
language,grambank,Alacatlatzala Mixtec,0.6309,,alac1244,Otomanguean,Otomanguean,North America,0.0,149.0
language,grambank,Alagwa,0.6971,,alag1248,Afro-Asiatic,Afro-Asiatic,Africa,53000.0,175.0
language,grambank,Alamblak,0.5532,,alam1246,Sepik,Sepik,Papunesia,1500.0,94.0
language,grambank,Inland-Buhi-Daraga Bikol,0.7177,,alba1269,Austronesian,Austronesian,Papunesia,0.0,124.0
language,grambank,Aleut,0.5924,,aleu1260,Eskimo-Aleut,Eskimo-Aleut,North America,200.0,184.0
language,grambank,Alorese,0.8509,,alor1247,Austronesian,Austronesian,Papunesia,25000.0,161.0
language,grambank,Alsea-Yaquina,0.6345,,alse1251,,(isolate),North America,0.0,145.0
language,grambank,Alu Kurumba,0.6768,,aluk1238,Dravidian,Dravidian,Eurasia,0.0,164.0
language,grambank,Alyawarr,0.6515,,alya1239,Pama-Nyungan,Pama-Nyungan,Australia,0.0,66.0
language,grambank,Amahuaca,0.6622,,amah1246,Pano-Tacanan,Pano-Tacanan,South America,310.0,148.0
language,grambank,Amam,0.6726,,amam1246,Goilalan,Goilalan,Papunesia,0.0,168.0
language,grambank,Ama (Papua New Guinea),0.6474,,amap1240,Left May,Left May,Papunesia,0.0,156.0
language,grambank,Amara,0.7708,,amar1272,Austronesian,Austronesian,Papunesia,0.0,144.0
language,grambank,Amarakaeri,0.6939,,amar1274,Harakmbut,Harakmbut,South America,500.0,147.0
language,grambank,Ama (Sudan),0.7375,,amas1236,Nyimang,Nyimang,Africa,0.0,160.0
language,grambank,Ambonese Malay,0.8539,,ambo1250,Austronesian,contact language,Papunesia,0.0,178.0
language,grambank,Ambulas,0.6782,,ambu1247,Ndu,Ndu,Papunesia,0.0,87.0
language,grambank,Amdo Tibetan,0.7041,,amdo1237,Sino-Tibetan,Sino-Tibetan,Eurasia,810000.0,169.0
language,grambank,Amharic,0.53,,amha1245,Afro-Asiatic,Afro-Asiatic,Africa,21900000.0,100.0
language,grambank,Ami,0.5783,,amii1238,Western Daly,Western Daly,Australia,30.0,166.0
language,grambank,Amis,0.7241,,amis1246,Austronesian,Austronesian,Papunesia,215000.0,145.0
language,grambank,Amri Karbi,0.7343,,amri1238,Sino-Tibetan,Sino-Tibetan,Eurasia,0.0,143.0
language,grambank,Ancient Greek,0.586,,anci1242,Indo-European,Indo-European,Eurasia,0.0,186.0
language,grambank,Ancient Hebrew,0.6667,,anci1244,Afro-Asiatic,Afro-Asiatic,Eurasia,0.0,174.0
language,grambank,Aneityum,0.6994,,anei1239,Austronesian,Austronesian,Papunesia,0.0,173.0
language,grambank,Anem,0.6818,,anem1249,,(isolate),Papunesia,800.0,88.0
language,grambank,Anfillo,0.7692,,anfi1235,Ta-Ne-Omotic,Ta-Ne-Omotic,Africa,0.0,104.0
language,grambank,Angami Naga,0.6628,,anga1288,Sino-Tibetan,Sino-Tibetan,Eurasia,0.0,172.0
language,grambank,Angaataha,0.6905,,anga1290,Angan,Angan,Papunesia,0.0,126.0
language,grambank,Angosturas Tunebo,0.6992,,ango1257,Chibchan,Chibchan,South America,0.0,133.0
language,grambank,Anindilyakwa,0.5102,,anin1240,Gunwinyguan,Gunwinyguan,Australia,1283.0,98.0
language,grambank,Antankarana Malagasy,0.5918,,anta1255,Austronesian,Austronesian,Africa,0.0,98.0
language,grambank,Anuak,0.5,,anua1242,Nilotic,Nilotic,Africa,140000.0,70.0
language,grambank,Anufo,0.7987,,anuf1239,Atlantic-Congo,Atlantic-Congo,Africa,0.0,154.0
