param,interlang,label,n,pct,restricted,n_restricted,contested
1,2,Subject-verb-object (SVO),74,83.8,5,10,False
2,1,Possessor-possessum,73,45.2,7,9,False
3,1,Modifying adjective precedes noun,72,68.1,8,9,False
4,2,Prepositions,73,87.7,5,9,False
5,1,Demonstrative word precedes noun,75,60.0,6,8,False
6,1,Numeral precedes noun,72,88.9,7,9,False
7,1,Relative clause follows noun,72,90.3,6,9,False
8,1,Degree word precedes adjective,73,71.2,6,8,False
9,4,The language has no definite article,74,23.0,4,8,False
10,4,The language has no indefinite article,72,12.5,5,9,False
11,2,Adverb – verb – object,67,47.8,5,7,False
12,2,Interrogative phrase not initial,72,26.4,4,9,False
13,1,No gender distinctions,75,74.7,9,10,False
14,1,No special dual form,72,88.9,7,9,False
15,1,No inclusive/exclusive distinction,72,90.3,9,9,False
16,1,No person syncretism,72,88.9,9,9,False
17,1,No dependent person forms,73,39.7,9,9,False
18,1,No pronominal politeness distinction,70,60.0,7,9,False
19,5,Four compound expressions,72,11.1,2,8,True
20,1,Singular pronoun overtly conjoined with other conjunct,68,86.8,6,8,False
21,2,Generic-noun-based indefinites,72,58.3,5,8,False
22,4,Variable plural marking of human or inanimate nouns,75,68.0,2,9,True
23,7,Plural word preceding the noun,74,32.4,1,9,False
26,2,Only iconic functions,73,54.8,4,9,True
28,5,Neither definite nor indefinite article,75,10.7,4,9,True
29,5,Neither indefinite nor definite article,72,11.1,4,9,False
31,4,No definite article exists,75,22.7,4,9,False
35,4,All ordinal numerals are synchronically derived from cardinal numerals,67,10.4,2,6,False
36,1,The language has no numeral classifiers,72,94.4,8,9,False
37,1,Preceding word,73,61.6,5,9,False
38,4,No marking,75,41.3,4,9,False
39,1,Identical to dependent pronominal possessor,69,43.5,6,6,False
41,2,Adjective is not marked,75,29.3,6,7,False
42,2,Particle marking,74,50.0,1,6,False
43,5,No TAM markers,72,4.2,3,9,False
49,4,No or only one tense or aspect marker,73,12.3,6,9,False
50,6,No TAM marker,69,4.3,3,9,False
51,8,The language has no or only one TAM marker,70,8.6,5,8,False
56,1,Normal imperative construction and normal negator,73,69.9,7,8,False
59,1,Neutral alignment,72,30.6,5,9,False
60,1,Indirect-object construction,74,37.8,2,9,False
61,2,Subject – verb – theme – recipient,71,25.4,3,8,False
64,2,An expletive subject is not used,73,68.5,8,8,False
71,2,Differentiation,73,41.1,3,7,False
72,1,"Identity, overtly expressed",71,49.3,2,8,False
73,1,Invariant copula,75,42.7,2,9,False
74,1,Invariant copula,74,17.6,1,9,False
75,1,Invariant copula,74,58.1,5,9,False
77,1,Transitive,72,75.0,3,8,False
78,2,Differentiation,72,20.8,1,8,False
84,3,‘Come’ and ‘go’ directionals do not exist,71,45.1,5,9,False
85,1,No ‘take’ serials,72,54.2,5,9,False
86,5,No ‘give’ serials exist,71,54.9,7,8,False
87,7,Dedicated reflexive pronoun,69,5.8,1,5,False
90,3,Passive without verbal coding,75,30.7,2,9,True
92,2,Relative particle and gap,75,53.3,2,8,False
93,2,Relative particle and gap,70,55.7,1,6,False
95,3,Complementizer not synchronically related to ‘say’,73,30.1,0,8,False
96,3,Complementizer not synchronically related to ‘say’,71,31.0,0,8,False
100,4,Negative particle,72,86.1,8,9,False
101,1,Before the verb,73,79.5,6,9,False
102,1,Co-occurrence with predicate negation,69,81.2,7,7,False
103,1,Initial question particle,73,5.5,0,9,False
106,1,Before the focused element,71,4.2,1,9,True
107,7,No vocative marker,67,23.9,3,7,False
