part,feature,source,option,restricted,expanded,creole,n,by_lang,by_L1,by_total
contact,gender distinctions in personal pronouns,apics,In 2nd person but not in 3rd person,0.0,0.0,2,,,,
contact,gender distinctions in personal pronouns,apics,In 3rd person singular and plural only,0.0,2.0,1,,,,
contact,gender distinctions in personal pronouns,apics,In 3rd person singular only,1.0,0.0,13,,,,
contact,gender distinctions in personal pronouns,apics,No gender distinctions,9.0,7.0,40,,,,
contact,inclusive/exclusive distinction,apics,Inclusive and exclusive differentiated,0.0,2.0,5,,,,
contact,inclusive/exclusive distinction,apics,No inclusive/exclusive distinction,9.0,7.0,49,,,,
contact,politeness distinctions in 2nd person,apics,Binary pronominal politeness distinction,2.0,2.0,13,,,,
contact,politeness distinctions in 2nd person,apics,Multiple pronominal politeness distinction,0.0,0.0,3,,,,
contact,politeness distinctions in 2nd person,apics,No pronominal politeness distinction,7.0,6.0,29,,,,
contact,politeness distinctions in 2nd person,apics,Titles used as second person forms,0.0,0.0,8,,,,
contact,dual in independent pronouns,apics,Dual form in all three persons,1.0,2.0,4,,,,
contact,dual in independent pronouns,apics,Dual form only in first person,1.0,0.0,0,,,,
contact,dual in independent pronouns,apics,No special dual form,7.0,7.0,50,,,,
contact,person syncretism,apics,No person syncretism,9.0,8.0,47,,,,
contact,person syncretism,apics,Syncretism between 1st and 2nd person,0.0,0.0,3,,,,
contact,person syncretism,apics,Syncretism between 2nd and 3rd person,0.0,1.0,4,,,,
contact,special dependent forms for subject and object,apics,Dependent subject and object forms,0.0,4.0,21,,,,
contact,special dependent forms for subject and object,apics,No dependent person forms,9.0,5.0,15,,,,
contact,special dependent forms for subject and object,apics,Only dependent object forms,0.0,0.0,1,,,,
contact,special dependent forms for subject and object,apics,Only dependent subject forms,0.0,1.0,17,,,,
contact,alignment of case marking of personal pronouns,apics,Accusative alignment,4.0,3.0,43,,,,
contact,alignment of case marking of personal pronouns,apics,Neutral alignment,5.0,6.0,11,,,,
contact,nominal plural marker and 3rd-person-plural pronoun,apics,Differentiation,3.0,1.0,17,,,,
contact,nominal plural marker and 3rd-person-plural pronoun,apics,Identity,0.0,3.0,13,,,,
contact,nominal plural marker and 3rd-person-plural pronoun,apics,No nominal plural word,6.0,4.0,16,,,,
contact,nominal plural marker and 3rd-person-plural pronoun,apics,Overlap,0.0,1.0,8,,,,
world,inclusive/exclusive distinction,grambank,yes,,,,2289.0,52.6,37.3,29.4
world,gender in independent 3rd person pronouns,grambank,yes,,,,2306.0,24.1,40.9,50.6
world,male/female distinction in 2nd person pronouns,grambank,yes,,,,2112.0,5.5,7.6,9.7
world,dual for all person categories,grambank,yes,,,,2264.0,26.3,1.4,5.4
world,morphological case on pronominal core arguments,grambank,yes,,,,2173.0,45.2,61.1,66.8
world,phonologically independent reflexive pronoun,grambank,yes,,,,1657.0,49.8,89.7,82.6
world,special adnominal possessive pronouns,grambank,yes,,,,1876.0,36.7,40.9,53.6
