part,feature,source,option,restricted,expanded,creole,foreclosed_by,n,by_lang,by_L1,by_total
contact,polar questions,apics,Final question particle,0.0,1.0,4,,,,,
contact,polar questions,apics,Initial question particle,0.0,1.0,4,,,,,
contact,polar questions,apics,Interrogative verb morphology,0.0,0.0,0,Tier 0: no inflectional affixes (3.2),,,,
contact,polar questions,apics,Interrogative word order,0.0,0.0,2,,,,,
contact,polar questions,apics,Only interrogative intonation,9.0,7.0,41,,,,,
contact,polar questions,apics,Question particle in other position,0.0,0.0,4,,,,,
contact,position of interrogative phrases in content questions,apics,Interrogative phrase initial,5.0,3.0,46,,,,,
contact,position of interrogative phrases in content questions,apics,Interrogative phrase not initial,4.0,6.0,8,,,,,
contact,interrogative pronouns (simple words vs compounds),apics,All simple words,1.0,2.0,17,,,,,
contact,interrogative pronouns (simple words vs compounds),apics,Four compound expressions,2.0,0.0,6,,,,,
contact,interrogative pronouns (simple words vs compounds),apics,One compound expression,5.0,0.0,13,,,,,
contact,interrogative pronouns (simple words vs compounds),apics,Three compound expressions,0.0,4.0,5,,,,,
contact,interrogative pronouns (simple words vs compounds),apics,Two compound expressions,0.0,3.0,14,,,,,
world,polar Q markable by intonation ONLY,grambank,yes,,,,,1581.0,51.0,77.4,81.1
world,polar Q markable by special word order (inversion),grambank,yes,,,,,1704.0,2.9,15.0,30.3
world,clause-INITIAL polar Q particle,grambank,yes,,,,,1720.0,14.6,27.8,28.3
world,clause-FINAL polar Q particle,grambank,yes,,,,,1708.0,39.5,45.7,34.5
world,polar Q particle neither initial nor final,grambank,yes,,,,,1708.0,11.1,11.0,7.7
world,polar Q by particle AND verbal morphology,grambank,yes,,,,,1667.0,2.0,2.0,1.3
world,polar Q by verbal morphology only,grambank,yes,,,,Tier 0: no inflectional affixes (3.2),1718.0,17.6,11.7,12.3
world,polar Q markable by tone,grambank,yes,,,,3.3: the phoneme inventory is not tonal,1661.0,4.8,2.2,1.4
world,polar Q by V-not-V construction,grambank,yes,,,,,1574.0,6.9,39.9,32.8
world,interrogative VERB for content questions,grambank,yes,,,,,1776.0,11.3,6.7,5.0
world,count/mass distinction in interrogative quantifiers,grambank,yes,,,,,1296.0,18.3,59.1,61.2
world,content interrogatives normally occur IN SITU,grambank,yes,,,,,1698.0,53.3,62.4,46.9
world,polar questions (dominant strategy),wals,Question particle,,,,,574.0,61.0,66.4,63.6
world,polar questions (dominant strategy),wals,Interrogative intonation only,,,,,171.0,18.2,6.2,3.4
world,polar questions (dominant strategy),wals,Interrogative verb morphology,,,,Tier 0: no inflectional affixes (3.2),163.0,17.3,6.5,4.1
world,polar questions (dominant strategy),wals,Mixture of previous two types,,,,,15.0,1.6,0.8,0.6
world,polar questions (dominant strategy),wals,Interrogative word order,,,,,13.0,1.4,20.1,28.3
world,polar questions (dominant strategy),wals,Absence of declarative morphemes,,,,,4.0,0.4,0.0,0.0
world,polar questions (dominant strategy),wals,No interrogative-declarative distinction,,,,,1.0,0.1,0.0,0.0
world,position of polar question particles,wals,No question particle,,,,,352.0,40.5,34.0,37.0
world,position of polar question particles,wals,Final,,,,,307.0,35.3,33.7,25.3
world,position of polar question particles,wals,Initial,,,,,125.0,14.4,26.4,32.0
world,position of polar question particles,wals,Second position,,,,,52.0,6.0,4.1,2.7
world,position of polar question particles,wals,In either of two positions,,,,,26.0,3.0,1.4,2.7
world,position of polar question particles,wals,Other position,,,,,8.0,0.9,0.4,0.2
world,position of interrogative phrases in content questions,wals,Not initial interrogative phrase,,,,,606.0,68.0,66.5,56.6
world,position of interrogative phrases in content questions,wals,Initial interrogative phrase,,,,,262.0,29.4,31.5,40.5
world,position of interrogative phrases in content questions,wals,Mixed,,,,,23.0,2.6,2.1,2.9
inversion_who,interrogative word order,wals,Spanish,,,,,485000000.0,,,
inversion_who,interrogative word order,wals,English,,,,,379007140.0,,,
inversion_who,interrogative word order,wals,German,,,,,76540740.0,,,
inversion_who,interrogative word order,wals,Dutch,,,,,23100000.0,,,
inversion_who,interrogative word order,wals,Czech,,,,,10700000.0,,,
inversion_who,interrogative word order,wals,Swedish,,,,,9244250.0,,,
inversion_who,interrogative word order,wals,Danish,,,,,5621380.0,,,
inversion_who,interrogative word order,wals,Manggarai,,,,,900000.0,,,
inversion_who,interrogative word order,wals,Frisian,,,,,845100.0,,,
inversion_who,interrogative word order,wals,Palauan,,,,,17000.0,,,
rule2,polar Q markable by intonation ONLY,grambank,KEPT,,,San Andres Creole English,,,,,
rule2,polar Q markable by special word order (inversion),grambank,LOST,,,San Andres Creole English,,,,,
rule2,clause-INITIAL polar Q particle,grambank,ABSENT,,,San Andres Creole English,,,,,
rule2,clause-FINAL polar Q particle,grambank,ABSENT,,,San Andres Creole English,,,,,
rule2,polar Q particle neither initial nor final,grambank,ABSENT,,,San Andres Creole English,,,,,
rule2,polar Q by particle AND verbal morphology,grambank,ABSENT,,,San Andres Creole English,,,,,
rule2,polar Q by verbal morphology only,grambank,ABSENT,,,San Andres Creole English,,,,,
rule2,polar Q markable by tone,grambank,ABSENT,,,San Andres Creole English,,,,,
rule2,polar Q by V-not-V construction,grambank,ABSENT,,,San Andres Creole English,,,,,
rule2,interrogative VERB for content questions,grambank,ABSENT,,,San Andres Creole English,,,,,
rule2,count/mass distinction in interrogative quantifiers,grambank,LOST,,,San Andres Creole English,,,,,
rule2,content interrogatives normally occur IN SITU,grambank,ABSENT,,,San Andres Creole English,,,,,
rule2,polar Q markable by intonation ONLY,grambank,KEPT,,,Bahamas Creole English,,,,,
rule2,polar Q markable by special word order (inversion),grambank,LOST,,,Bahamas Creole English,,,,,
rule2,clause-INITIAL polar Q particle,grambank,ABSENT,,,Bahamas Creole English,,,,,
rule2,clause-FINAL polar Q particle,grambank,ABSENT,,,Bahamas Creole English,,,,,
rule2,polar Q particle neither initial nor final,grambank,ABSENT,,,Bahamas Creole English,,,,,
rule2,polar Q by particle AND verbal morphology,grambank,ABSENT,,,Bahamas Creole English,,,,,
rule2,polar Q by verbal morphology only,grambank,ABSENT,,,Bahamas Creole English,,,,,
rule2,polar Q markable by tone,grambank,ABSENT,,,Bahamas Creole English,,,,,
rule2,polar Q by V-not-V construction,grambank,ABSENT,,,Bahamas Creole English,,,,,
rule2,interrogative VERB for content questions,grambank,ABSENT,,,Bahamas Creole English,,,,,
rule2,content interrogatives normally occur IN SITU,grambank,ABSENT,,,Bahamas Creole English,,,,,
rule2,polar Q markable by intonation ONLY,grambank,KEPT,,,Tok Pisin,,,,,
rule2,polar Q markable by special word order (inversion),grambank,LOST,,,Tok Pisin,,,,,
rule2,clause-INITIAL polar Q particle,grambank,ABSENT,,,Tok Pisin,,,,,
rule2,clause-FINAL polar Q particle,grambank,GAINED,,,Tok Pisin,,,,,
rule2,polar Q particle neither initial nor final,grambank,ABSENT,,,Tok Pisin,,,,,
rule2,polar Q by particle AND verbal morphology,grambank,ABSENT,,,Tok Pisin,,,,,
rule2,polar Q by verbal morphology only,grambank,ABSENT,,,Tok Pisin,,,,,
rule2,polar Q markable by tone,grambank,ABSENT,,,Tok Pisin,,,,,
rule2,polar Q by V-not-V construction,grambank,ABSENT,,,Tok Pisin,,,,,
rule2,interrogative VERB for content questions,grambank,ABSENT,,,Tok Pisin,,,,,
rule2,count/mass distinction in interrogative quantifiers,grambank,LOST,,,Tok Pisin,,,,,
rule2,content interrogatives normally occur IN SITU,grambank,GAINED,,,Tok Pisin,,,,,
rule2,polar Q markable by intonation ONLY,grambank,KEPT,,,Bislama,,,,,
rule2,polar Q markable by special word order (inversion),grambank,LOST,,,Bislama,,,,,
rule2,clause-INITIAL polar Q particle,grambank,GAINED,,,Bislama,,,,,
rule2,clause-FINAL polar Q particle,grambank,GAINED,,,Bislama,,,,,
rule2,polar Q particle neither initial nor final,grambank,ABSENT,,,Bislama,,,,,
rule2,polar Q by particle AND verbal morphology,grambank,ABSENT,,,Bislama,,,,,
rule2,polar Q by verbal morphology only,grambank,ABSENT,,,Bislama,,,,,
rule2,polar Q markable by tone,grambank,ABSENT,,,Bislama,,,,,
rule2,polar Q by V-not-V construction,grambank,ABSENT,,,Bislama,,,,,
rule2,interrogative VERB for content questions,grambank,ABSENT,,,Bislama,,,,,
rule2,count/mass distinction in interrogative quantifiers,grambank,LOST,,,Bislama,,,,,
rule2,content interrogatives normally occur IN SITU,grambank,GAINED,,,Bislama,,,,,
rule2,polar Q markable by intonation ONLY,grambank,KEPT,,,Saramaccan,,,,,
rule2,polar Q markable by special word order (inversion),grambank,LOST,,,Saramaccan,,,,,
rule2,clause-INITIAL polar Q particle,grambank,ABSENT,,,Saramaccan,,,,,
rule2,clause-FINAL polar Q particle,grambank,GAINED,,,Saramaccan,,,,,
rule2,polar Q particle neither initial nor final,grambank,ABSENT,,,Saramaccan,,,,,
rule2,polar Q by particle AND verbal morphology,grambank,ABSENT,,,Saramaccan,,,,,
rule2,polar Q by verbal morphology only,grambank,ABSENT,,,Saramaccan,,,,,
rule2,polar Q markable by tone,grambank,ABSENT,,,Saramaccan,,,,,
rule2,polar Q by V-not-V construction,grambank,ABSENT,,,Saramaccan,,,,,
rule2,interrogative VERB for content questions,grambank,ABSENT,,,Saramaccan,,,,,
rule2,count/mass distinction in interrogative quantifiers,grambank,LOST,,,Saramaccan,,,,,
rule2,content interrogatives normally occur IN SITU,grambank,ABSENT,,,Saramaccan,,,,,
rule2,polar Q markable by intonation ONLY,grambank,KEPT,,,Jamaican Creole English,,,,,
rule2,polar Q markable by special word order (inversion),grambank,LOST,,,Jamaican Creole English,,,,,
rule2,clause-INITIAL polar Q particle,grambank,ABSENT,,,Jamaican Creole English,,,,,
rule2,clause-FINAL polar Q particle,grambank,ABSENT,,,Jamaican Creole English,,,,,
rule2,polar Q particle neither initial nor final,grambank,ABSENT,,,Jamaican Creole English,,,,,
rule2,polar Q by particle AND verbal morphology,grambank,ABSENT,,,Jamaican Creole English,,,,,
rule2,polar Q by verbal morphology only,grambank,ABSENT,,,Jamaican Creole English,,,,,
rule2,polar Q markable by tone,grambank,GAINED,,,Jamaican Creole English,,,,,
rule2,polar Q by V-not-V construction,grambank,ABSENT,,,Jamaican Creole English,,,,,
rule2,interrogative VERB for content questions,grambank,ABSENT,,,Jamaican Creole English,,,,,
rule2,count/mass distinction in interrogative quantifiers,grambank,LOST,,,Jamaican Creole English,,,,,
rule2,content interrogatives normally occur IN SITU,grambank,ABSENT,,,Jamaican Creole English,,,,,
rule2,polar Q markable by intonation ONLY,grambank,KEPT,,,Haitian,,,,,
rule2,polar Q markable by special word order (inversion),grambank,LOST,,,Haitian,,,,,
rule2,clause-INITIAL polar Q particle,grambank,GAINED,,,Haitian,,,,,
rule2,clause-FINAL polar Q particle,grambank,ABSENT,,,Haitian,,,,,
rule2,polar Q particle neither initial nor final,grambank,ABSENT,,,Haitian,,,,,
rule2,polar Q by particle AND verbal morphology,grambank,ABSENT,,,Haitian,,,,,
rule2,polar Q by verbal morphology only,grambank,LOST,,,Haitian,,,,,
rule2,polar Q markable by tone,grambank,ABSENT,,,Haitian,,,,,
rule2,polar Q by V-not-V construction,grambank,ABSENT,,,Haitian,,,,,
rule2,count/mass distinction in interrogative quantifiers,grambank,ABSENT,,,Haitian,,,,,
rule2,content interrogatives normally occur IN SITU,grambank,ABSENT,,,Haitian,,,,,
rule2,polar Q markable by intonation ONLY,grambank,GAINED,,,Berbice Creole Dutch,,,,,
rule2,polar Q markable by special word order (inversion),grambank,LOST,,,Berbice Creole Dutch,,,,,
rule2,clause-INITIAL polar Q particle,grambank,ABSENT,,,Berbice Creole Dutch,,,,,
rule2,clause-FINAL polar Q particle,grambank,ABSENT,,,Berbice Creole Dutch,,,,,
rule2,polar Q particle neither initial nor final,grambank,ABSENT,,,Berbice Creole Dutch,,,,,
rule2,polar Q by particle AND verbal morphology,grambank,ABSENT,,,Berbice Creole Dutch,,,,,
rule2,polar Q by verbal morphology only,grambank,ABSENT,,,Berbice Creole Dutch,,,,,
rule2,polar Q markable by tone,grambank,ABSENT,,,Berbice Creole Dutch,,,,,
