word,domain,intl,variant,final_policy,form,phonemes,syl_before,syl_after,syl_inflation,len_before,len_after,len_inflation,n_epenthesis,n_deleted,n_lossy_segment,n_attested,attested_langs,sim_attested,sim_attested_min,sim_restrictive,sim_permissive,sim_attested_learned,sim_ceiling,sim_attested_pairwise,why,intl_note,retention
atom,chem/phys,atom,V1,delete,ato,atom,2,2,1.0,4,3,0.75,0,1,0,8,sw|id|tr|ru|es|fi|hu|cs,0.6937,0.6,0.6,0.7071,0.5986,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,0.7499
atom,chem/phys,atom,V1,epenthesize,atomu,atom,2,3,1.5,4,5,1.25,1,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.8664,0.8,1.0,0.8473,0.851,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,0.9366
atom,chem/phys,atom,V2,delete,aton,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.8891,0.769,0.769,0.9063,0.7576,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,0.9612
atom,chem/phys,atom,V2,epenthesize,aton,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.8891,0.769,0.769,0.9063,0.7576,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,0.9612
atom,chem/phys,atom,V3,delete,atom,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.925,0.8,0.8,0.9429,0.929,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,1.0
atom,chem/phys,atom,V3,epenthesize,atom,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.925,0.8,0.8,0.9429,0.929,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,1.0
atom,chem/phys,atom,V4,delete,atom,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.925,0.8,0.8,0.9429,0.929,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,1.0
atom,chem/phys,atom,V4,epenthesize,atom,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.925,0.8,0.8,0.9429,0.929,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,1.0
atom,chem/phys,atom,V5,delete,atom,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.925,0.8,0.8,0.9429,0.929,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,1.0
atom,chem/phys,atom,V5,epenthesize,atom,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.925,0.8,0.8,0.9429,0.929,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,1.0
atom,chem/phys,atom,V3C,delete,atom,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.925,0.8,0.8,0.9429,0.929,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,1.0
atom,chem/phys,atom,V3C,epenthesize,atom,atom,2,2,1.0,4,4,1.0,0,0,0,8,sw|id|tr|ru|es|fi|hu|cs,0.925,0.8,0.8,0.9429,0.929,0.925,0.8889,"the canonical case; vowel-initial, final /m/ - the one coda V3 buys and V2 does not",,1.0
proton,chem/phys,proton,V1,delete,puroto,proton,2,3,1.5,6,6,1.0,1,1,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.6597,0.5977,0.6363,0.6655,0.6242,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.6852
proton,chem/phys,proton,V1,epenthesize,purotoni,proton,2,4,2.0,6,8,1.3333,2,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.7685,0.6983,0.7866,0.764,0.8097,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.7982
proton,chem/phys,proton,V2,delete,puroton,proton,2,3,1.5,6,7,1.1667,1,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8212,0.7143,0.7562,0.8374,0.851,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.8529
proton,chem/phys,proton,V2,epenthesize,puroton,proton,2,3,1.5,6,7,1.1667,1,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8212,0.7143,0.7562,0.8374,0.851,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.8529
proton,chem/phys,proton,V3,delete,puroton,proton,2,3,1.5,6,7,1.1667,1,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8212,0.7143,0.7562,0.8374,0.851,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.8529
proton,chem/phys,proton,V3,epenthesize,puroton,proton,2,3,1.5,6,7,1.1667,1,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8212,0.7143,0.7562,0.8374,0.851,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.8529
proton,chem/phys,proton,V4,delete,puroton,proton,2,3,1.5,6,7,1.1667,1,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8212,0.7143,0.7562,0.8374,0.851,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.8529
proton,chem/phys,proton,V4,epenthesize,puroton,proton,2,3,1.5,6,7,1.1667,1,0,0,10,hi|sw|id|tr|ru|es|fi|vi|hu|cs,0.8212,0.7143,0.7562,0.8374,0.851,0.9628,0.9325,initial /pr/ onset cluster + final /n/: the V3+onsets test in one word,,0.8529
