iso639_3,glottocode,name,l1_speakers,year,source_note
cmn,mand1415,Mandarin Chinese,918000000,2019,wikidata P1098 (first-language qualified)
spa,stan1288,Spanish,485000000,2023,wikidata P1098 (first-language qualified)
eng,stan1293,English,379007140,2019,wikidata P1098 (first-language qualified)
hin,hind1269,Hindi,341000000,2019,wikidata P1098 (first-language qualified)
ben,beng1280,Bengali,300000000,2019,wikidata P1098 (first-language qualified)
por,port1283,Portuguese,254300000,2019,wikidata P1098 (first-language qualified)
rus,russ1263,Russian,154000000,2019,wikidata P1098 (first-language qualified)
jpn,nucl1643,Japanese,128000000,2019,wikidata P1098 (first-language qualified)
pan,panj1256,Eastern Panjabi,125000000,2021,wikidata P1098 (first-language qualified)
fil,fili1244,Filipino,90000000,,"wikidata P1098 (unqualified, assumed L1)"
mar,mara1378,Marathi,83100000,2019,wikidata P1098 (first-language qualified)
tur,nucl1301,Turkish,82231620,2021,wikidata P1098 (first-language qualified)
tel,telu1262,Telugu,82000000,2019,wikidata P1098 (first-language qualified)
wuu,wuch1236,Wu Chinese,81400000,2019,wikidata P1098 (first-language qualified)
kor,kore1280,Korean,77300000,2019,wikidata P1098 (first-language qualified)
fra,stan1290,French,77200000,2019,wikidata P1098 (first-language qualified)
deu,stan1295,German,76540740,2019,wikidata P1098 (first-language qualified)
vie,viet1252,Vietnamese,76000000,2019,wikidata P1098 (first-language qualified)
tam,tami1289,Tamil,75000000,2019,wikidata P1098 (first-language qualified)
yue,yuec1235,Yue Chinese,73100000,2019,wikidata P1098 (first-language qualified)
urd,urdu1245,Urdu,68600000,2019,wikidata P1098 (first-language qualified)
jav,java1254,Javanese,68300000,2019,wikidata P1098 (first-language qualified)
ita,ital1282,Italian,64800000,2019,wikidata P1098 (first-language qualified)
arz,egyp1253,Egyptian Arabic,64600000,2019,wikidata P1098 (first-language qualified)
guj,guja1252,Gujarati,56400000,2019,wikidata P1098 (first-language qualified)
pes,west2369,Western Farsi,52800000,2019,wikidata P1098 (first-language qualified)
bho,bhoj1244,Bhojpuri,52200000,2019,wikidata P1098 (first-language qualified)
nan,,,50100000,2019,wikidata P1098 (first-language qualified)
hak,hakk1236,Hakka Chinese,48200000,2019,wikidata P1098 (first-language qualified)
cjy,jiny1235,Jinyu Chinese,46900000,2019,wikidata P1098 (first-language qualified)
hau,haus1257,Hausa,43900000,2019,wikidata P1098 (first-language qualified)
ind,indo1316,Standard Indonesian,43627550,2010,wikidata P1098 (first-language qualified)
kan,nucl1305,Kannada,43600000,2019,wikidata P1098 (first-language qualified)
arq,alge1239,Algerian Arabic,42252851,2024,wikidata P1098 (first-language qualified)
pol,poli1260,Polish,39700000,2019,wikidata P1098 (first-language qualified)
yor,yoru1245,Yoruba,37800000,2019,wikidata P1098 (first-language qualified)
hsn,xian1251,Xiang Chinese,37300000,2019,wikidata P1098 (first-language qualified)
mal,mala1464,Malayalam,37100000,2019,wikidata P1098 (first-language qualified)
ory,oriy1255,Odia,34500000,2019,wikidata P1098 (first-language qualified)
mai,mait1250,Maithili,33900000,2019,wikidata P1098 (first-language qualified)
mya,nucl1310,Burmese,32900000,2019,wikidata P1098 (first-language qualified)
sun,sund1252,Sundanese,32400000,2019,wikidata P1098 (first-language qualified)
apd,suda1236,Sudanese Arabic,31900000,2019,wikidata P1098 (first-language qualified)
ary,moro1292,Moroccan Arabic,27500000,2019,wikidata P1098 (first-language qualified)
nqo,nkoa1234,N'Ko,27000000,,"wikidata P1098 (unqualified, assumed L1)"
ibo,nucl1417,Igbo,27000000,2019,wikidata P1098 (first-language qualified)
