parameter,panphon_default,learned_full,loro_mean,loro_sd,loro_min,loro_max,ratio_to_default,cv_of_loro
syl,1.0,0.04097375754373725,0.037336521227614786,0.018207875757060423,0.02342624885192719,0.05794467837824135,0.037336521227614786,0.48766931568315314
son,1.0,0.043126643931540906,0.036283479487116105,0.016997420808990797,0.022852764331777846,0.0553933613384328,0.036283479487116105,0.46846170899972284
cons,1.0,0.045136500924584995,0.03735086525440496,0.017715263313924277,0.02337321209914247,0.05727412121585739,0.03735086525440496,0.4742932511271619
cont,0.5,0.44863524685120076,0.4856568859891141,0.08273951866373627,0.41257784287545,0.5754919799877558,0.9713137719782282,0.17036620101705066
delrel,0.25,1.4963798996975167e-05,0.22916376049708811,0.20505653746905422,1.4752112917061632e-05,0.39537383892061767,0.9166550419883525,0.8948035109227481
lat,0.25,0.8014188891631878,0.5606548880036238,0.43358150048214095,0.05999813204949329,0.8111478820778649,2.2426195520144954,0.7733482927903028
nas,0.25,1.1665204987698963,1.1791385347222565,0.07070485360287748,1.1063496134166646,1.247556518360205,4.716554138889026,0.05996314387226082
strid,0.125,0.35089807585475197,0.2551357132707673,0.14782411802259707,0.08688695549012848,0.36418470846932005,2.0410857061661383,0.5793940649371815
voi,0.125,0.9470859338023684,0.9616583146872645,0.10012940746574554,0.858269520659499,1.0581742042192965,7.693266517498116,0.10412160529003284
sg,0.125,0.004231433965966387,0.0005318984912349921,0.0005538119444763814,1.782999119305707e-05,0.0011183380429637293,0.004255187929879937,1.0411985625123874
cg,0.125,0.005836686763300932,0.0032466888684874605,0.0050534660845064335,1.5187473878178044e-14,0.00906905438039878,0.025973510947899684,1.5564984170659688
ant,0.25,0.13911999010378923,0.09858448615635983,0.11105102153706489,4.030242814192511e-23,0.2188918945261204,0.3943379446254393,1.1264553467462672
cor,0.25,0.28161771724927437,0.1232507608137149,0.21347628165496715,5.850858796276214e-09,0.36975193817183144,0.4930030432548596,1.7320483885500875
distr,0.125,0.2526290894220673,0.3058330287959428,0.5297183426135609,2.1320140028779394e-19,0.9174990842011863,2.4466642303675425,1.732050801376977
lab,0.25,0.8263531859909118,0.8270115205344647,0.04763129484134505,0.7980952655372119,0.8819866555233233,3.308046082137859,0.05759447560121391
hi,0.25,0.05390930028193123,0.2261257895113913,0.023112909874182887,0.19967185543330299,0.24241030977094008,0.9045031580455652,0.10221262211676457
lo,0.25,0.7144723920869313,0.6454961603383017,0.07123445846259799,0.5859608328399593,0.7244167147166967,2.581984641353207,0.11035613043037207
back,0.25,0.5670471330783715,0.6108928469474421,0.04577725741660558,0.5809618080510797,0.6635897456378999,2.4435713877897682,0.07493500316029074
round,0.25,0.5133732217469853,0.5064796969214557,0.045296950755217225,0.45428482519111146,0.5355071961835973,2.0259187876858227,0.08943487968135044
velaric,0.25,0.04700509627350907,0.034493902274316986,0.05971985771790771,4.2860756616244226e-06,0.10345245309933826,0.13797560909726794,1.7313163713104485
tense,0.125,0.0005942423966943225,0.001017584698188983,0.0013971428944841936,0.00014390821678030076,0.0026289548975826902,0.008140677585511864,1.372999119356569
long,0.25,1.6761835514898637e-16,0.08465667250944738,0.13974111149826357,3.4934292047385946e-13,0.24594934834748514,0.3386266900377895,1.6506804172189613
del_C,7.25,3.591518109186281,3.60561805528067,0.2845755700139597,3.3149026432720823,3.883628190453366,0.4973266283145752,0.07892560045209993
del_V,7.25,3.5030343960123953,3.5853646368718457,0.21619460532710139,3.3766975641741435,3.8083727153574585,0.4945330533616339,0.06029919609954277
ins_C,7.25,4.984982473480509,4.985208831689913,0.3387585585858187,4.6311275616288246,5.306218913684341,0.6876150112675742,0.06795273177572875
ins_V,7.25,2.9999734519222767,3.1038171296955284,0.19158356864559792,2.937950490564373,3.3135197566366843,0.4281127075442108,0.06172514701740546
