group,concept,gloss,form,syllables,donor,donor_family,donor_macroarea,donor_form,donor_adapted,source,seg_cost,seg_cost_weighted,score,nearest_word_distance,nearest_word_similarity,false_friend_score,false_friend_top,n_donor_candidates,recog_instrument,wiki_title,syllable_inflation,fallback_flag,borrowing_form,borrowing_syllables,borrowing_recog_world,compound_parts,compound_gloss,panel_languages,panel_share_world_l1,n_recognizing,recog_share_world_l1,recog_share_world_l1_strict,recog_share_panel,threshold,top_recognizers,rank,concepticon,wold
grammar,1SG,I (speaker),wo,1,MandarinChinese,Sino-Tibetan,Eurasia,wo3,wo,wold,0.0,0.0,0.9261,3.0,0.0,0.2044,hin:vo=that/he; English:who=who?,20,wold41,,,,,,,,,36,0.24602929244760235,6,0.13871659184729818,0.13516910367770277,0.5638214477117236,,Hawaiian; Kalina; Kanuri; LowerSorbian; MandarinChinese; Romanian,,,2-91
grammar,2SG,you (one addressee),ka,1,Indonesian,Austronesian,Papunesia,kamu,kamu,wold,0.0,0.0,0.8574,2.0,0.5,0.121,Japanese:ka=or; hin:ka=of; urd:ka=of; Thai:chaa=late,18,wold41,,,,,,,,,34,0.24602929244760235,6,0.009942485071624697,0.00354318285317122,0.0404117939482437,,Hausa; ImbaburaQuechua; LowerSorbian; OldHighGerman; Romanian; SeliceRomani,,,2-92
grammar,3SG,he/she/it,je,1,Swahili,Atlantic-Congo,Africa,yeye,jeje,wold,0.0,0.0,0.8403,2.0,0.828,0.1893,hin:ye=this; fra:je=I; Kanuri:ye=and; Swahili:je=how?,16,wold41,,,,,,,,,31,0.24602929244760235,1,3.819902383475475e-06,3.819902383475475e-06,1.5526209686145448e-05,,Hawaiian,,,2-93
grammar,1PL,we,mu,1,Hausa,Afro-Asiatic,Africa,múu,mu,wold,0.0,0.0,0.8267,2.0,0.552,0.0064,Hausa:muu=we (inclusive),14,wold41,,,,,,,,,23,0.24602929244760235,3,0.006412664952721486,0.00640027450423473,0.026064640063488423,,Hausa; LowerSorbian; SeychellesCreole,,,2-94
grammar,2PL,you (more than one),fo,1,Romanian,Indo-European,Eurasia,voi,foi,wold,0.0,0.0,0.7903,1.0,0.707,0.0,Saramaccan:fo=four,13,wold41,,,,,,,,,23,0.24602929244760235,2,0.009941512785843442,0.006399302218453476,0.04040784203759281,,Hausa; Romanian,,,2-95
grammar,3PL,they,tan,1,Kanuri,Saharan,Africa,tàndí,tandi,wold,0.0,0.0,0.7514,2.0,0.569,0.0091,Thai:than=you (singular); Gawwada:taan=seven,10,wold41,,,,,,,,,18,0.24602929244760235,2,0.0013644070333650236,0.0,0.0055457096990010075,,Kanuri; Saramaccan,,,2-96
grammar,SELF,"reflexive, invariant; also the passive marker",fam,1,(coined),(none),(none),,fam,coined,0.0,0.0,0.0,2.0,0.839,0.0,,0,wold41,,,,,,,,,0,0.24602929244760235,0,0.0,0.0,0.0,,,,,
grammar,NEG,"negator, immediately before the verb",na,1,Japanese,Japonic,Eurasia,nai,nai,wold,0.0,0.0,0.7851,1.0,0.784,0.2949,ben:na=no/not; fil:na=already/rel; kor:na=I; pes:na=no,18,wold41,,,,,,,,,26,0.24602929244760235,12,0.16143954246809514,0.003612909008755567,0.6561801680687166,,Japanese; Kalina; MandarinChinese; Mapudungun; Romanian; Saramaccan,,,24-06
grammar,Q,"question particle, clause-initial",jan,1,(coined),(none),(none),,jan,coined,0.0,0.0,0.0,1.0,0.684,0.0,,0,wold41,,,,,,,,,0,0.24602929244760235,0,0.0,0.0,0.0,,,,,
grammar,WHAT,the one interrogative root; who = WHAT+person,kem,1,Mapudungun,Araucanian,South America,¿chem?,kem,wold,0.0,0.0,0.5896,2.0,0.805,0.0,KildinSaami:kɨʒem=seven,21,wold41,,,,,,,,,34,0.24602929244760235,7,0.011825862395607898,0.000684973146344257,0.04806688780006344,,CeqWong; LowerSorbian; Mapudungun; Oroqen; Qeqchi; TarifiytBerber,,,17-64
grammar,COP,copula; alone = existential,pen,1,Thai,Tai-Kadai,Eurasia,pen,pen,wold,0.0,0.0,0.5248,2.0,0.902,0.0,,16,wold41,,,,,,,,,28,0.24602929244760235,5,0.05827859690423729,0.0030174386314803406,0.23687665937847247,,English; Oroqen; Saramaccan; SeliceRomani; Thai,,,24-01
grammar,AND,and,ti,1,WhiteHmong,Hmong-Mien,Eurasia,thiab,tiabu,wold,0.0,0.0,0.6465,2.0,0.75,0.1319,rus:ty=you; ita:ti=you (obj); pol:ty=you; ukr:ty=you,11,wold41,,,,,,,,,28,0.24602929244760235,11,0.16148473116257625,0.027606664113099217,0.6563638400779783,,Bezhta; Gawwada; Japanese; Manange; MandarinChinese; Mapudungun,,,17-51
grammar,OR,or,sa,1,Romanian,Indo-European,Eurasia,sau,sau,wold,0.0,0.0,0.4129,1.0,0.853,0.0225,fil:sa=in/to; SeliceRomani:sa=all; TarifiytBerber:səƀʕa=seven; Qeqchi:sa=inside,7,wold41,,,,,,,,,18,0.24602929244760235,5,0.029241312658759653,0.01865855772123109,0.11885297221259647,,Hausa; Japanese; Malagasy; Romanian; TarifiytBerber,,,17-54
grammar,THAN,comparative standard marker,mam,1,(coined),(none),(none),,mam,coined,0.0,0.0,0.0,1.0,0.816,0.0,,0,wold41,,,,,,,,,0,0.24602929244760235,0,0.0,0.0,0.0,,,,,
grammar,IF,if; conditional,ne,1,Vietnamese,Austroasiatic,Eurasia,nếu,neu,wold,0.0,0.0,0.3108,1.0,0.931,0.2173,rus:ne=not; tur:ne=what; kor:ne=yes; fra:ne=not,21,wold41,,,,,,,,,29,0.24602929244760235,7,0.01342852244752509,0.0,0.05458099039318664,,Hawaiian; SeliceRomani; SeychellesCreole; Swahili; Vietnamese; Wichi,,,17-53
grammar,REL,relativizer / complementizer,pu,1,(coined),(none),(none),,pu,coined,0.0,0.0,0.0,1.0,0.845,0.0,,0,wold41,,,,,,,,,0,0.24602929244760235,0,0.0,0.0,0.0,,,,,
grammar,ORD,ordinal marker (ORD + numeral),wem,1,(coined),(none),(none),,wem,coined,0.0,0.0,0.0,1.0,0.833,0.0,,0,wold41,,,,,,,,,0,0.24602929244760235,0,0.0,0.0,0.0,,,,,
grammar,YES,"yes - answers the fact, not the polarity",si,1,MandarinChinese,Sino-Tibetan,Eurasia,shi4,si,wold,0.0,0.0,0.0723,1.0,0.914,0.6078,MandarinChinese:si=four; Japanese:shi=four; fra:si=if/yes; deu:sie=she/they,7,wold41,,,,,,,,,29,0.24602929244760235,5,0.13381698505383696,0.13381684365695423,0.5439067182715099,,Archi; MandarinChinese; Otomi; Wichi; ZinacantanTzotzil,,,17-55
