level,symbol,segment_class,n_languages,pct_languages,pct_l1_weighted,pct_total_weighted,l1_with,total_with,top_allophones,merged_strict_variants
strict,m,consonant,2111,0.96968,0.9989,0.99948,6147741097,10335938440,mʷ(30) m̥(27) mʲ(25) ɱ(23) ŋ(20) n(14) mb(12) ɲ(7),
strict,s,consonant,1514,0.69545,0.95057,0.96828,5850286671,10013300831,ʃ(96) z(38) sʲ(24) sʷ(18) ts(10) h(7) ç(5) tʃ(4),
strict,j,consonant,1984,0.91135,0.89777,0.93486,5525380912,9667725916,j̃(26) j̥(24) ʝ(18) ɲ(14) i(8) ʒ(7) dʒ(7) jʷ(7),
strict,k,consonant,1991,0.91456,0.89725,0.75118,5522180644,7768262199,ɡ(106) kʰ(97) kʲ(54) kʷ(53) ɣ(28) ʔ(27) x(20) c(17),
strict,p,consonant,1881,0.86403,0.86675,0.73434,5334451595,7594093196,b(86) pʰ(82) pʷ(27) pʲ(27) ɸ(21) β(18) f(14) pɸ(7),
strict,l,consonant,1555,0.71429,0.8625,0.88292,5308280155,9130541333,r(35) lʲ(27) ɾ(24) l̥(23) d(23) n(21) ʎ(16) lˠ(13),
strict,i,vowel,2057,0.94488,0.82989,0.7255,5107555541,7502694413,ɪ(135) ĩ(79) i̥(41) e(30) j(28) ɨ(28) ə(9) ḭ(8),
strict,a,vowel,1962,0.90124,0.80692,0.71741,4966205679,7418940175,ã(79) ə(46) ɑ(40) æ(38) ʌ(33) ḁ(28) ɐ(19) ɛ(15),
strict,u,vowel,1976,0.90767,0.80473,0.70787,4952723818,7320345441,ʊ(85) ũ(72) u̥(32) o(31) w(25) ʉ(14) y(13) ɯ(11),
strict,f,consonant,952,0.4373,0.79425,0.86334,4888226068,8928079339,v(24) fʷ(23) fʲ(21) ɸ(18) p(6) fˠ(4) β(3) f̃(2),
strict,b,consonant,1369,0.62885,0.75724,0.79989,4660433431,8271982135,β(58) p(51) bʷ(38) mb(36) bʲ(31) v(12) b̥(11) m(10),
strict,n,consonant,1815,0.83372,0.75313,0.77334,4635155456,7997323703,ŋ(124) ɲ(58) nʲ(32) m(32) n̥(26) nʷ(18) ɳ(13) nd(12),
strict,w,consonant,1871,0.85944,0.74743,0.8002,4600054768,8275151950,w̃(28) β(27) ɥ(23) v(19) ʍ(15) ʋ(9) u(8) o(6),
strict,ɡ,consonant,1239,0.56913,0.73731,0.74726,4537797260,7727683556,ɣ(71) ɡʷ(37) ɡʲ(34) ŋɡ(31) k(28) ŋ(10) ɟ(10) ɡ̥(8),
strict,pʰ,consonant,369,0.1695,0.59228,0.64108,3645187466,6629643239,p(24) ɸ(10) f(8) pʲʰ(5) pʷʰ(3) ʰp(3) mpʰ(2) pˡ(2),
