area,option,example,ascii_available,source,unit,n_units,pct_total_weighted,pct_l1_weighted,pct_world_total_weighted,pct_stated_only,top_examples
1_sentence_final,.,.,True,knowledge,languages,31,59.251,51.436,49.0,,"English, Spanish, Standard Arabic, French, Portuguese"
1_sentence_final,。,。,False,knowledge,languages,7,20.025,26.735,16.56,,"Mandarin Chinese, Yue Chinese, Japanese, Wu Chinese, Xiang Chinese"
1_sentence_final,।,।,False,knowledge,languages,5,13.514,18.035,11.176,,"Hindi, Bengali, Eastern Panjabi, Marathi, Bhojpuri"
1_sentence_final,۔,۔,False,knowledge,languages,4,5.737,2.283,4.745,,"Urdu, pnb, Northern Pashto, Sindhi"
1_sentence_final,(space),(space),True,knowledge,languages,1,0.623,0.414,0.515,,Thai
1_sentence_final,።,።,False,knowledge,languages,1,0.436,0.438,0.36,,Amharic
1_sentence_final,။,။,False,knowledge,languages,1,0.414,0.658,0.342,,Burmese
1_sentence_final,.,.,True,"knowledge (context, excluded from %)",languages,1,,,0.113,,Modern Greek
1_sentence_final,։,։,False,"knowledge (context, excluded from %)",languages,1,,,0.05,,Eastern Armenian
1_sentence_final,។,។,False,"knowledge (context, excluded from %)",languages,1,,,0.14,,Central Khmer
1_sentence_final,(space),(space),True,"knowledge (context, excluded from %)",languages,1,,,0.05,,Lao
1_sentence_final,.,.,True,"knowledge (context, excluded from %)",languages,1,,,0.087,,Modern Hebrew
1_sentence_final,.,.,True,"knowledge (context, excluded from %)",languages,1,,,0.041,,Georgian
2_exclamation_mark,!,!,True,knowledge,languages,42,74.274,63.56,61.423,,"English, Hindi, Standard Arabic, French, Urdu"
2_exclamation_mark,！,！,False,knowledge,languages,7,20.025,26.735,16.56,,"Mandarin Chinese, Yue Chinese, Japanese, Wu Chinese, Xiang Chinese"
2_exclamation_mark,¡!,¡!,False,knowledge,languages,1,5.701,9.705,4.715,,Spanish
2_exclamation_mark,!,!,True,"knowledge (context, excluded from %)",languages,1,,,0.113,,Modern Greek
2_exclamation_mark,՜,՜,False,"knowledge (context, excluded from %)",languages,1,,,0.05,,Eastern Armenian
2_exclamation_mark,!,!,True,"knowledge (context, excluded from %)",languages,1,,,0.14,,Central Khmer
