english_gloss,interlang_form,group,derivation
I (speaker),jo,grammar,asjp:SPANISH (Indo-European) <yo>
and,ku,grammar,Hausa (Afro-Asiatic) <kúmáa>
comparative standard marker,jum,grammar,coined from the free monosyllable pool (no donor)
copula; alone = existential,be,grammar,English (Indo-European) <be>
he/she/it,ka,grammar,Japanese (Japonic) <kare>
if; conditional,sim,grammar,Ket (Yeniseian) <sīm>
"negator, immediately before the verb",pi,grammar,asjp:KALMYK_2 (Mongolic-Khitan) <piSE>
"no - answers the fact, not the polarity",pa,grammar,ids:Central Thai (Tai-Kadai) <pa.1-ti.1-set.2>
or,kam,grammar,Mapudungun (Araucanian) <kam>
ordinal marker (ORD + numeral),pun,grammar,coined from the free monosyllable pool (no donor)
"question particle, clause-initial",jen,grammar,coined from the free monosyllable pool (no donor)
"reflexive, invariant; also the passive marker",fem,grammar,coined from the free monosyllable pool (no donor)
relativizer / complementizer,fon,grammar,coined from the free monosyllable pool (no donor)
that (distal demonstrative; `this` is the G2 core root),wan,grammar,Qeqchi (Mayan) <wan_le'>
the one interrogative root; who = WHAT+person,mom,grammar,ids:Mari (Uralic) <'mom>
they,tan,grammar,Kanuri (Saharan) <tàndí>
we,nam,grammar,asjp:TAMIL_2 (Dravidian) <nam>
"yes - answers the fact, not the polarity",ja,grammar,Indonesian (Austronesian) <ya>
you (more than one),fu,grammar,ids:Central Thai (Tai-Kadai) <phuak.3 thə:.1>
you (one addressee),nin,grammar,asjp:MANDARIN_JINZHOU_2 (Sino-Tibetan) <5in>
0,pam,numeral,Iraqw (Afro-Asiatic) <pampoo>
1,jem,numeral,asjp:MOORE (Atlantic-Congo) <yembo>
10,fo,numeral,Malagasy (Austronesian) <fòlo>
2,fi,numeral,asjp:BAMBARA_4 (Mande) <filo>
3,bo,numeral,ids:Guaraní (Tupian) <ᵐbohapɨ>
4,bon,numeral,Vietnamese (Austroasiatic) <bốn>
5,sin,numeral,ids:Toba (Guaicuruan) <šiinko>
6,tim,numeral,ids:Puinave (Puinave) <tə̃m dabata bat>
7,tom,numeral,ids:Seri (Seri) <tomkox -īʔ>
