wals_code,wals_name,iso639_3,glottocode,family,macroarea,13A,14A,15A,16A,17A,wals_rule,nearest_fixed,l1_speakers,total_speakers,l1_joined,n_doculects
mnd,Mandarin,cmn,mand1415,Sino-Tibetan,Eurasia,Complex tone system,No fixed stress,Not predictable,Lexical stress,,no lexical stress,no lexical stress,918000000.0,1324618658.695,True,1
spa,Spanish,spa,stan1288,Indo-European,Eurasia,No tones,No fixed stress,Right-edge: Ultimate or penultimate,Combined,Trochaic,weight-sensitive,penultimate,485000000.0,512398768.36599994,True,1
eng,English,eng,stan1293,Indo-European,Eurasia,No tones,No fixed stress,Right-oriented: One of the last three,Long vowel or coda consonant,Trochaic,weight-sensitive,penultimate,379007140.0,1733041002.014,True,1
hin,Hindi,hin,hind1269,Indo-European,Eurasia,No tones,No fixed stress,Right-oriented: One of the last three,Long vowel or coda consonant,,weight-sensitive,penultimate,341000000.0,581727613.455,True,1
ben,Bengali,ben,beng1280,Indo-European,Eurasia,No tones,Initial,Fixed stress (no weight-sensitivity),No weight,No rhythmic stress,initial,initial,300000000.0,279972074.276,True,1
por,Portuguese,por,port1283,Indo-European,Eurasia,,No fixed stress,Right-edge: Ultimate or penultimate,Lexical stress,,lexically unpredictable,penultimate,254300000.0,249463918.78782997,True,1
rus,Russian,rus,russ1263,Indo-European,Eurasia,No tones,No fixed stress,Unbounded: Stress can be anywhere,Lexical stress,No rhythmic stress,lexically unpredictable,no default (unpredictable),154000000.0,208192518.697,True,1
tur,Turkish,tur,nucl1301,Altaic,Eurasia,No tones,No fixed stress,Unbounded: Stress can be anywhere,Lexical stress,No rhythmic stress,lexically unpredictable,no default (unpredictable),82231620.0,82419542.4,True,1
wuc,Wu,wuu,wuch1236,Sino-Tibetan,Eurasia,Complex tone system,,,,,no lexical stress,no lexical stress,81400000.0,84962400.0,True,1
fre,French,fra,stan1290,Indo-European,Eurasia,No tones,No fixed stress,Right-edge: Ultimate or penultimate,Prominence,Undetermined,weight-sensitive,penultimate,77200000.0,332956350.85,True,1
ger,German,deu,stan1295,Indo-European,Eurasia,No tones,No fixed stress,Right-oriented: One of the last three,Coda consonant,Trochaic,weight-sensitive,penultimate,76540740.0,142985682.53,True,1
vie,Vietnamese,vie,viet1252,Austro-Asiatic,Eurasia,Complex tone system,,,,,no lexical stress,no lexical stress,76000000.0,92370781.12,True,1
cnt,Cantonese,yue,yuec1235,Sino-Tibetan,Eurasia,Complex tone system,,,,,no lexical stress,no lexical stress,73100000.0,155292898.02,True,1
jav,Javanese,jav,java1254,Austronesian,Papunesia,No tones,No fixed stress,Right-edge: Ultimate or penultimate,Prominence,Undetermined,weight-sensitive,penultimate,68300000.0,96236284.5,True,1
ita,Italian,ita,ital1282,Indo-European,Eurasia,,No fixed stress,Right-edge: Ultimate or penultimate,Lexical stress,Undetermined,lexically unpredictable,penultimate,64800000.0,70475318.56099999,True,1
aeg,Arabic (Egyptian),arz,egyp1253,Afro-Asiatic,Africa,No tones,No fixed stress,Right-oriented: One of the last three,Combined,Trochaic,weight-sensitive,penultimate,64600000.0,71198080.0,True,1
guj,Gujarati,guj,guja1252,Indo-European,Eurasia,,No fixed stress,Right-edge: Ultimate or penultimate,Prominence,,weight-sensitive,penultimate,56400000.0,65626182.9304,True,1
prs,Persian,pes,west2369,Indo-European,Eurasia,No tones,Ultimate,Fixed stress (no weight-sensitivity),No weight,,final,final,52800000.0,89208445.64600001,True,1
