scheme,policy,category,n_languages,pct_languages,pct_l1_weighted,pct_total_weighted,l1_with,total_with,n_languages_universe,l1_universe
nearest_fixed,tone_aware,penultimate,185,0.38144,0.55964,0.66515,2289336903,4687377291,485,4090728421
nearest_fixed,tone_aware,no lexical stress,3,0.00619,0.22441,0.18797,918020000,1324638659,485,4090728421
nearest_fixed,tone_aware,initial,125,0.25773,0.09274,0.05617,379387122,395849683,485,4090728421
nearest_fixed,tone_aware,no default (unpredictable),82,0.16907,0.07268,0.05425,297305533,382289924,485,4090728421
nearest_fixed,tone_aware,final,61,0.12577,0.04531,0.03378,185333092,238080906,485,4090728421
nearest_fixed,tone_aware,antepenultimate,12,0.02474,0.00509,0.00261,20827790,18378020,485,4090728421
nearest_fixed,tone_aware,second,16,0.03299,0.00012,7e-05,507981,494314,485,4090728421
nearest_fixed,tone_aware,third,1,0.00206,0.0,0.0,10000,10000,485,4090728421
wals_rule,tone_aware,weight-sensitive,173,0.3567,0.46238,0.56883,1891476177,4008630786,485,4090728421
wals_rule,tone_aware,no lexical stress,3,0.00619,0.22441,0.18797,918020000,1324638659,485,4090728421
wals_rule,tone_aware,lexically unpredictable,33,0.06804,0.14641,0.09264,598930427,652841368,485,4090728421
wals_rule,tone_aware,initial,91,0.18763,0.08327,0.04633,340643570,326508808,485,4090728421
wals_rule,tone_aware,final,51,0.10515,0.04035,0.02914,165061747,205323053,485,4090728421
wals_rule,tone_aware,penultimate,106,0.21856,0.03792,0.07239,155108260,510154350,485,4090728421
wals_rule,tone_aware,antepenultimate,12,0.02474,0.00509,0.00261,20827790,18378020,485,4090728421
wals_rule,tone_aware,second,14,0.02887,0.00012,7e-05,481081,462770,485,4090728421
wals_rule,tone_aware,unclassified,1,0.00206,4e-05,2e-05,169369,170982,485,4090728421
wals_rule,tone_aware,third,1,0.00206,0.0,0.0,10000,10000,485,4090728421
nearest_fixed,tone_aware_extended,penultimate,185,0.3286,0.50435,0.61647,2289336903,4687377291,563,4539146451
nearest_fixed,tone_aware_extended,no lexical stress,81,0.14387,0.30103,0.2474,1366438030,1881116471,563,4539146451
nearest_fixed,tone_aware_extended,initial,125,0.22202,0.08358,0.05206,379387122,395849683,563,4539146451
nearest_fixed,tone_aware_extended,no default (unpredictable),82,0.14565,0.0655,0.05028,297305533,382289924,563,4539146451
nearest_fixed,tone_aware_extended,final,61,0.10835,0.04083,0.03131,185333092,238080906,563,4539146451
nearest_fixed,tone_aware_extended,antepenultimate,12,0.02131,0.00459,0.00242,20827790,18378020,563,4539146451
nearest_fixed,tone_aware_extended,second,16,0.02842,0.00011,7e-05,507981,494314,563,4539146451
nearest_fixed,tone_aware_extended,third,1,0.00178,0.0,0.0,10000,10000,563,4539146451
wals_rule,tone_aware_extended,weight-sensitive,173,0.30728,0.4167,0.5272,1891476177,4008630786,563,4539146451
wals_rule,tone_aware_extended,no lexical stress,81,0.14387,0.30103,0.2474,1366438030,1881116471,563,4539146451
wals_rule,tone_aware_extended,lexically unpredictable,33,0.05861,0.13195,0.08586,598930427,652841368,563,4539146451
wals_rule,tone_aware_extended,initial,91,0.16163,0.07505,0.04294,340643570,326508808,563,4539146451
wals_rule,tone_aware_extended,final,51,0.09059,0.03636,0.027,165061747,205323053,563,4539146451
wals_rule,tone_aware_extended,penultimate,106,0.18828,0.03417,0.06709,155108260,510154350,563,4539146451
wals_rule,tone_aware_extended,antepenultimate,12,0.02131,0.00459,0.00242,20827790,18378020,563,4539146451
wals_rule,tone_aware_extended,second,14,0.02487,0.00011,6e-05,481081,462770,563,4539146451
wals_rule,tone_aware_extended,unclassified,1,0.00178,4e-05,2e-05,169369,170982,563,4539146451
wals_rule,tone_aware_extended,third,1,0.00178,0.0,0.0,10000,10000,563,4539146451
nearest_fixed,wals_as_is,penultimate,185,0.38144,0.55964,0.66515,2289336903,4687377291,485,4090728421
nearest_fixed,wals_as_is,no default (unpredictable),85,0.17526,0.29709,0.24222,1215325533,1706928582,485,4090728421
nearest_fixed,wals_as_is,initial,125,0.25773,0.09274,0.05617,379387122,395849683,485,4090728421
nearest_fixed,wals_as_is,final,61,0.12577,0.04531,0.03378,185333092,238080906,485,4090728421
nearest_fixed,wals_as_is,antepenultimate,12,0.02474,0.00509,0.00261,20827790,18378020,485,4090728421
nearest_fixed,wals_as_is,second,16,0.03299,0.00012,7e-05,507981,494314,485,4090728421
nearest_fixed,wals_as_is,third,1,0.00206,0.0,0.0,10000,10000,485,4090728421
wals_rule,wals_as_is,weight-sensitive,173,0.3567,0.46238,0.56883,1891476177,4008630786,485,4090728421
wals_rule,wals_as_is,lexically unpredictable,36,0.07423,0.37083,0.28061,1516950427,1977480027,485,4090728421
wals_rule,wals_as_is,initial,91,0.18763,0.08327,0.04633,340643570,326508808,485,4090728421
wals_rule,wals_as_is,final,51,0.10515,0.04035,0.02914,165061747,205323053,485,4090728421
wals_rule,wals_as_is,penultimate,106,0.21856,0.03792,0.07239,155108260,510154350,485,4090728421
wals_rule,wals_as_is,antepenultimate,12,0.02474,0.00509,0.00261,20827790,18378020,485,4090728421
wals_rule,wals_as_is,second,14,0.02887,0.00012,7e-05,481081,462770,485,4090728421
wals_rule,wals_as_is,unclassified,1,0.00206,4e-05,2e-05,169369,170982,485,4090728421
wals_rule,wals_as_is,third,1,0.00206,0.0,0.0,10000,10000,485,4090728421
