level,seg,segment_class,n_languages,pct_languages,pct_l1_weighted,pct_total_weighted,l1_with,total_with,top_allophones,merged_strict_variants,n_wold_recipients,in_wold
lumped,m,consonant,2111,0.96968,0.9989,0.99948,6147741097,10335938440,mʷ(30) m̥(27) mʲ(25) ɱ(25) ŋ(21) n(15) mb(12) ɲ(8),mʰ mʱ mː mˑ m̩ ʱm,29,True
lumped,k,consonant,2081,0.9559,0.99839,0.99911,6144628530,10332139366,kʰ(266) ɡ(109) kʲ(56) kʷ(55) ɣ(30) x(28) ʔ(27) c(19),kʰ kʰː kː kˑ k̟ k̟ʰ k̻ ʰk ʰkʰ ʰkː,30,True
lumped,i,vowel,2116,0.97198,0.99164,0.99321,6103069572,10271159347,ɪ(138) ĩ(81) i̥(41) e(32) ɨ(30) j(28) ə(9) ḭ(8),iʱ iː iˑ ĭ ï i̞ i̞ː i̠ i̩ː i̯ i̽,30,True
lumped,t,consonant,2044,0.93891,0.99065,0.99425,6096960645,10281843545,tʰ(280) d(88) tʲ(42) tʷ(19) ts(16) ɾ(15) tʃ(15) ð(10),tʰ tʰː tː tˑ t̟ t̠ t̠ʰ t̪ t̪ʰ t̪ʰː t̪ː t̪̺ t̪̻ t̺ t̺ʰ t̺ː t̻ t̻ʰ t̻ʰː t̻ː ʰt ʰtʰ ʰtː,28,True
lumped,n,consonant,2060,0.94626,0.98954,0.99386,6090179183,10277857453,ŋ(131) ɲ(64) m(36) nʲ(34) n̥(29) nʷ(18) ɳ(14) nd(12),nʰ nʱ nː nˑ n̠ n̩ n̪ n̪ʱ n̪ː n̪̩ n̪̺ n̺ n̻ n̻ː ʱn ʱn̪,28,True
lumped,a,vowel,2155,0.98989,0.98904,0.99161,6087069617,10254536544,ɑ(147) ã(82) ə(55) ɐ(55) æ(45) ʌ(39) ḁ(28) ɛ(17),aʱ aː aˑ ă ä äː a̞ a̟ a̟ː a̠ a̠ː ä̠ ä̠ː ɐ ɐː ɐ̆ ɐ̟ ɑ ɑː ɑˑ ɑ̆ ɑ̈ ɑ̈ː ɑ̝ ɑ̝ː ɑ̟ː ɑ̟ˑ ɑ̟̝,30,True
lumped,s,consonant,1601,0.73542,0.98481,0.99105,6061032929,10248758726,ʃ(98) z(42) sʲ(26) sʷ(18) ts(11) h(7) ç(5) sʰ(5),sʰ sː sˑ s̟ s̠ s̩ s̪ s̪ː s̪̻ s̺ s̺ː s̺̠ s̻ s̻ː s̻̠ ʰsʰ,27,True
lumped,p,consonant,1958,0.8994,0.96825,0.94464,5959115921,9768817397,pʰ(247) b(87) ɸ(31) pʷ(28) pʲ(28) f(22) β(18) ʰp(11),pʰ pʰː pː pˑ p̻ ʰp ʰpʰ ʰpː,28,True
lumped,u,vowel,2025,0.93018,0.96384,0.9734,5931983178,10066276132,ʊ(88) ũ(72) u̥(32) o(31) w(25) ʉ(16) y(13) ɯ(11),uʱ uː uˑ ŭ ü üː u̞ u̞ː u̞ˑ u̟ u̠ u̯,28,True
lumped,l,consonant,1716,0.78824,0.91458,0.9382,5628788913,9702286052,r(37) lʲ(30) l̥(27) ɾ(24) d(24) n(22) ʎ(16) ɭ(13),lʰ lʱ lː lˑ l̟ l̠ l̩ l̪ l̪ʱ l̪ː l̪̩ l̺ l̻ l̻ː ʱl,24,True
