recipient,recipient_glottocode,family,macroarea,donor,source_raw,source_ipa,target_form,target_ipa,n_src_segs,n_tgt_segs,source_certain,source_relation
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,samundra,samundra,samundra,samundra,8,8,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,chaharo,khaharo,2kju_tsʰara,kjutsʰara,7,8,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,mewsam,mewsam,mewsʌm,mewsʌm,6,6,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,English,match,matkh,miʃʌr,miʃʌr,5,5,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,gotha,ɡotha,kotʰa,kotʰa,5,4,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,"ghuri, sungkur",ɡhuri,4tʰa_1suŋkur,tʰasuŋkur,5,8,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,bhaale,bhaale,naka)_4pʰale,nakapʰale,6,8,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,parewa,parewa,1poro,poro,6,4,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,siyal,sijal,1ʃeli,ʃeli,5,4,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,singhi,sinɡhi,1siŋhi,siŋhi,6,5,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,likho,likho,likʰa,likʰa,5,4,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,saanglaa,saanɡlaa,saŋlo,saŋlo,8,5,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,lamkhutte,lamkhutte,kutti,kutti,9,5,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,gohi,ɡohi,1gohi,ɡohi,4,4,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,karan,karan,(ŋoŋtse)_1krẽ_2nokrẽ,ŋoŋtsekrẽnokrẽ,5,14,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,shakti,shakti,1ʃakre,ʃakre,6,5,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,cimlanu,kimlanu,tʃipli_tʃipli,tʃiplitʃipli,7,12,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,ghuccuk,ɡhukkuk,4ta_1tʃuku,tatʃuku,7,7,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,caak,kaak,1tsak,tsak,4,4,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,haii,haii,hai_1lʌ,hailʌ,4,5,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,ɖubnu,ɖubnu,tup_tipi_1lʌ,tuptipilʌ,5,9,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,saasi,saasi,2sez_1lʌ,sezlʌ,5,5,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,khulke,khulke,ʃilki,ʃilki,6,5,yes,immediate
Manange,mana1288,Sino-Tibetan,Eurasia,Nepali,thaale,thaale,tʰali,tʰali,6,4,yes,immediate
